state,postcode,NMI_Bus_res,Sum of Num_DER_Connections,Sum of Installed_DER_capacity_kVA,Sum of Solar_Connections,Sum of Solar_capacity_kVA,Sum of Battery_Connections,Sum of Battery_capacity_kVA,Sum of Battery_Storage_kVAh,Sum of Num_Other_Connections,Sum of Installed_OtherDER_capacity_kVA
NSW,2880,RESIDENTIAL,3125,10021.5,3125,9909.3,11,112.2,139.0,0,0.0
NSW,2879,RESIDENTIAL,132,499.2,132,494.9,1,4.3,1.0,0,0.0
NSW,2878,RESIDENTIAL,27,144.1,27,144.1,0,0.0,0.0,0,0.0
NSW,2877,BUSINESS,39,726.3,39,726.3,0,0.0,0.0,0,0.0
NSW,2877,RESIDENTIAL,436,2145.1,435,2141.1,1,4.0,6.0,0,0.0
NSW,2876,RESIDENTIAL,47,223.6,47,223.6,0,0.0,0.0,0,0.0
NSW,2875,RESIDENTIAL,102,518.7,102,518.7,0,0.0,0.0,0,0.0
NSW,2874,RESIDENTIAL,61,248.4,61,248.4,0,0.0,0.0,0,0.0
NSW,2873,BUSINESS,14,134.7,14,134.7,0,0.0,0.0,0,0.0
NSW,2873,RESIDENTIAL,109,495.4,109,495.4,0,0.0,0.0,0,0.0
NSW,2871,BUSINESS,60,1036.5,60,1036.5,0,0.0,0.0,0,0.0
NSW,2871,RESIDENTIAL,682,3360.5,682,3350.5,2,10.0,39.0,0,0.0
NSW,2870,BUSINESS,96,1289.1,96,1289.1,0,0.0,0.0,0,0.0
NSW,2870,RESIDENTIAL,1157,5613.1,1157,5604.1,2,9.0,23.0,0,0.0
NSW,2869,BUSINESS,18,272.8,18,272.8,0,0.0,0.0,0,0.0
NSW,2869,RESIDENTIAL,182,766.7,182,761.7,1,5.0,5.0,0,0.0
NSW,2868,RESIDENTIAL,71,331.6,71,324.6,2,7.0,23.0,0,0.0
NSW,2867,RESIDENTIAL,87,513.5,87,513.5,0,0.0,0.0,0,0.0
NSW,2866,BUSINESS,17,207.8,17,207.8,0,0.0,0.0,0,0.0
NSW,2866,RESIDENTIAL,275,1344.5,275,1334.5,3,10.0,33.0,0,0.0
NSW,2865,BUSINESS,11,135.3,11,135.3,0,0.0,0.0,0,0.0
