state,post_code,NMI_Bus_res,Sum of Num_DER_Connections,Sum of Installed_DER_capacity_kVA,Sum of Solar_Connections,Sum of Solar_capacity_kVA,Sum of Battery_Connections,Sum of Battery_capacity_kVA,Sum of Battery_Storage_kVAh,Sum of Num_Other_Connections,Sum of Installed_OtherDER_capacity_kVA
VIC,3430,RESIDENTIAL,25,138.8,25,138.8,0,0,0,0,0
VIC,3434,BUSINESS,25,242.3,25,237.3,1,5,14,0,0
VIC,3507,RESIDENTIAL,25,105.8,25,105.8,0,0,0,0,0
VIC,3518,BUSINESS,25,266.6,25,256.6,2,10,28,0,0
VIC,3566,BUSINESS,25,358.6,25,358.6,0,0,0,0,0
VIC,3778,RESIDENTIAL,25,119.2,25,119.2,0,0,0,0,0
VIC,3910,BUSINESS,25,158.6,25,158.6,0,0,0,0,0
VIC,3945,BUSINESS,25,229,25,229,0,0,0,0,0
VIC,3039,BUSINESS,26,501.135,26,501.135,0,0,0,0,0
VIC,3051,BUSINESS,26,404.2,26,404.2,0,0,0,0,0
VIC,3145,BUSINESS,26,328.2,25,327.9,1,0.3,1.2,0,0
VIC,3310,RESIDENTIAL,26,104.99,26,104.99,0,0,0,0,0
VIC,3329,RESIDENTIAL,26,98.6,26,98.6,0,0,0,0,0
VIC,3342,BUSINESS,26,5374,26,5374,0,0,0,0,0
VIC,3363,BUSINESS,26,444.1,25,441.1,1,3,5.1,0,0
VIC,3364,BUSINESS,26,261.5,26,261.5,0,0,0,0,0
VIC,3390,BUSINESS,26,193.63,26,193.63,0,0,0,0,0
VIC,3432,RESIDENTIAL,26,123.499,26,123.499,0,0,0,0,0
VIC,3467,BUSINESS,26,298,26,298,0,0,0,0,0
VIC,3483,BUSINESS,26,272.4,26,272.4,0,0,0,0,0
VIC,3558,BUSINESS,26,187.1,26,187.1,0,0,0,0,0
VIC,3563,BUSINESS,26,210.9,26,210.9,0,0,0,0,0
VIC,3614,BUSINESS,26,448.1,26,448.1,0,0,0,0,0
VIC,3658,BUSINESS,26,273,26,273,0,0,0,0,0
VIC,3669,BUSINESS,26,179.2,26,179.2,0,0,0,0,0
VIC,3913,BUSINESS,26,513.5,26,513.5,0,0,0,0,0
VIC,3941,BUSINESS,26,198,26,198,0,0,0,0,0
VIC,3006,BUSINESS,27,7468.75,25,748.75,0,0,0,2,6720
VIC,3038,BUSINESS,27,3415.1,27,3415.1,0,0,0,0,0
VIC,3052,BUSINESS,27,15329.1,25,629.1,0,0,0,2,14700
VIC,3233,BUSINESS,27,452.7,27,452.7,0,0,0,0,0
VIC,3241,BUSINESS,27,563.3,27,563.3,0,0,0,0,0
VIC,3319,RESIDENTIAL,27,178.2,27,178.2,0,0,0,0,0
VIC,3373,BUSINESS,27,473.6,27,473.6,0,0,0,0,0
VIC,3433,RESIDENTIAL,27,147.5,27,142.5,1,5,14,0,0
VIC,3520,RESIDENTIAL,27,87.97,27,87.97,0,0,0,0,0
VIC,3749,BUSINESS,27,407.6,27,407.6,0,0,0,0,0
VIC,3831,BUSINESS,27,217.1,27,217.1,0,0,0,0,0
VIC,3864,RESIDENTIAL,27,101.7,27,96.9,1,4.8,4.8,0,0
VIC,3937,BUSINESS,27,385.2,27,385.2,0,0,0,0,0
VIC,3067,BUSINESS,28,21141.75,28,21141.75,0,0,0,0,0
VIC,3122,BUSINESS,28,352.4,28,352.4,0,0,0,0,0
VIC,3163,BUSINESS,28,373.4,28,358.4,2,15,32,0,0
VIC,3227,BUSINESS,28,1293.7,28,1293.7,0,0,0,0,0
VIC,3274,RESIDENTIAL,28,133.32,28,133.32,0,0,0,0,0
VIC,3463,BUSINESS,28,245.73,28,245.73,0,0,0,0,0
VIC,3733,RESIDENTIAL,28,118.1,28,118.1,0,0,0,0,0
VIC,3753,BUSINESS,28,171.7,28,171.7,0,0,0,0,0
VIC,3804,BUSINESS,28,335.3,28,335.3,0,0,0,0,0
VIC,3816,BUSINESS,28,411.6,28,411.6,0,0,0,0,0
VIC,3082,BUSINESS,29,1173.3,29,1173.3,0,0,0,0,0
VIC,3146,BUSINESS,29,314.5,28,314.5,1,0,0,0,0
VIC,3187,BUSINESS,29,638.4,29,638.4,0,0,0,0,0
VIC,3225,BUSINESS,29,493.2,29,493.2,0,0,0,0,0
VIC,3278,RESIDENTIAL,29,159.8,29,159.8,0,0,0,0,0
VIC,3302,RESIDENTIAL,29,121.4,29,121.4,0,0,0,0,0
VIC,3618,BUSINESS,29,473,29,473,0,0,0,0,0
VIC,3623,BUSINESS,29,311.2,29,311.2,0,0,0,0,0
VIC,3890,RESIDENTIAL,29,118.4,29,118.4,0,0,0,0,0
VIC,3964,RESIDENTIAL,29,111.2,29,111.2,0,0,0,0,0
VIC,3015,BUSINESS,30,800.32,30,800.32,0,0,0,0,0
VIC,3141,BUSINESS,30,344.1,30,344.1,0,0,0,0,0
VIC,3182,BUSINESS,30,515,30,515,0,0,0,0,0
VIC,3293,RESIDENTIAL,30,113.6,30,113.6,0,0,0,0,0
VIC,3451,BUSINESS,30,252.48,30,252.48,0,0,0,0,0
VIC,3755,RESIDENTIAL,30,142.8,30,142.8,0,0,0,0,0
VIC,3782,BUSINESS,30,285.5,29,272.3,1,13.2,7,0,0
VIC,3996,BUSINESS,30,649.5,30,649.5,0,0,0,0,0
VIC,3019,BUSINESS,31,992.06,31,992.06,0,0,0,0,0
VIC,3065,BUSINESS,31,6958.3,29,703.3,0,0,0,2,6255
VIC,3135,BUSINESS,31,845.6,31,845.6,0,0,0,0,0
VIC,3193,BUSINESS,31,234,30,234,1,0,0,0,0
VIC,3461,BUSINESS,31,534.2,31,529.2,1,5,14,0,0
VIC,3509,RESIDENTIAL,31,128.4,31,128.4,0,0,0,0,0
VIC,3590,RESIDENTIAL,31,162.7,31,162.7,0,0,0,0,0
VIC,3637,BUSINESS,31,481.7,31,481.7,0,0,0,0,0
VIC,3675,BUSINESS,31,206.7,31,206.7,0,0,0,0,0
VIC,3775,BUSINESS,31,773.6,27,617.6,3,156,144,1,0
VIC,3885,BUSINESS,31,299.4,31,299.4,0,0,0,0,0
VIC,3108,BUSINESS,32,635.3,32,635.3,0,0,0,0,0
VIC,3167,BUSINESS,32,439.4,32,439.4,0,0,0,0,0
VIC,3179,BUSINESS,32,1949.3,32,1949.3,0,0,0,0,0
VIC,3223,BUSINESS,32,292.2,32,287.2,1,5,6.5,0,0
VIC,3525,BUSINESS,32,568.9,32,568.9,0,0,0,0,0
VIC,3700,BUSINESS,32,221.8,32,221.8,0,0,0,0,0
VIC,3739,RESIDENTIAL,32,149.9,32,149.9,0,0,0,0,0
VIC,3793,BUSINESS,32,485.9,32,485.9,0,0,0,0,0
VIC,3934,BUSINESS,32,399.1,31,394.1,2,5,9.8,0,0
VIC,3958,RESIDENTIAL,32,145.6,32,145.6,0,0,0,0,0
VIC,3976,BUSINESS,32,386.6,32,386.6,0,0,0,0,0
VIC,3988,BUSINESS,32,304.9,32,304.9,0,0,0,0,0
VIC,3075,BUSINESS,33,393.3,33,393.3,0,0,0,0,0
VIC,3304,BUSINESS,33,420.34,33,420.34,0,0,0,0,0
VIC,3387,RESIDENTIAL,33,136.5,33,136.5,0,0,0,0,0
VIC,3480,BUSINESS,33,650.999,33,650.999,0,0,0,0,0
VIC,3517,BUSINESS,33,539.9,33,539.9,0,0,0,0,0
VIC,3589,RESIDENTIAL,33,245.2,33,245.2,0,0,0,0,0
VIC,3723,BUSINESS,33,287,33,287,0,0,0,0,0
VIC,3013,BUSINESS,34,540.3,34,540.3,0,0,0,0,0
VIC,3057,BUSINESS,34,15362.9,34,15362.9,0,0,0,0,0
VIC,3144,BUSINESS,34,421.52,34,421.52,0,0,0,0,0
VIC,3249,BUSINESS,34,392.8,34,392.8,0,0,0,0,0
VIC,3264,BUSINESS,34,677.7,34,677.7,0,0,0,0,0
VIC,3287,RESIDENTIAL,34,140.7,34,140.7,0,0,0,0,0
VIC,3318,BUSINESS,34,469.5,34,469.5,0,0,0,0,0
VIC,3608,BUSINESS,34,457.5,34,457.5,0,0,0,0,0
VIC,3663,RESIDENTIAL,34,168.5,34,168.5,0,0,0,0,0
VIC,3795,BUSINESS,34,609.2,33,609.2,0,0,0,1,0
VIC,3833,RESIDENTIAL,34,153.9,34,153.9,0,0,0,0,0
VIC,3048,BUSINESS,35,997.325,35,997.325,0,0,0,0,0
VIC,3101,BUSINESS,35,924.1,35,924.1,0,0,0,0,0
VIC,3127,BUSINESS,35,451.3,35,451.3,0,0,0,0,0
VIC,3147,BUSINESS,35,456,35,456,0,0,0,0,0
VIC,3238,RESIDENTIAL,35,133.4,35,128.4,1,5,10.5,0,0
VIC,3544,RESIDENTIAL,35,175.2,35,175.2,0,0,0,0,0
VIC,3887,RESIDENTIAL,35,154.7,35,154.7,0,0,0,0,0
VIC,3046,BUSINESS,36,769.365,36,769.365,0,0,0,0,0
VIC,3079,BUSINESS,36,687.88,35,583.88,0,0,0,1,104
VIC,3190,BUSINESS,36,448.3,36,448.3,0,0,0,0,0
VIC,3701,BUSINESS,36,409.4,35,402.9,1,6.5,6.5,0,0
VIC,3871,BUSINESS,36,343.7,36,343.7,0,0,0,0,0
VIC,3984,BUSINESS,36,320.2,36,320.2,0,0,0,0,0
VIC,3116,BUSINESS,37,704,37,704,0,0,0,0,0
VIC,3124,BUSINESS,37,647.2,36,517.2,0,0,0,1,130
VIC,3181,BUSINESS,37,6680.4,36,480.4,0,0,0,1,6200
VIC,3351,BUSINESS,37,217.4,37,217.4,0,0,0,0,0
VIC,3573,RESIDENTIAL,37,183.499,37,183.499,0,0,0,0,0
VIC,3862,BUSINESS,37,541.6,37,541.6,0,0,0,0,0
VIC,3946,RESIDENTIAL,37,145.2,36,140.4,1,4.8,4.8,0,0
VIC,3059,BUSINESS,38,497.36,38,497.36,0,0,0,0,0
VIC,3129,BUSINESS,38,519.1,37,519.1,1,0,0,0,0
VIC,3172,BUSINESS,38,625.2,38,625.2,0,0,0,0,0
VIC,3239,RESIDENTIAL,38,141.8,37,141.8,0,0,0,1,0
VIC,3275,RESIDENTIAL,38,175,38,175,0,0,0,0,0
VIC,3412,RESIDENTIAL,38,115,38,115,0,0,0,0,0
VIC,3460,BUSINESS,38,707.9,38,707.9,0,0,0,0,0
VIC,3494,RESIDENTIAL,38,278.5,38,278.5,0,0,0,0,0
VIC,3610,BUSINESS,38,434.2,38,434.2,0,0,0,0,0
VIC,3673,BUSINESS,38,236.7,38,236.7,0,0,0,0,0
VIC,3752,BUSINESS,38,767.5,38,767.5,0,0,0,0,0
VIC,3770,BUSINESS,38,1126.6,38,1126.6,0,0,0,0,0
VIC,3835,RESIDENTIAL,38,166.2,38,166.2,0,0,0,0,0
