state,postcode,NMI_Bus_res,Sum of Num_DER_Connections,Sum of Installed_DER_capacity_kVA,Sum of Solar_Connections,Sum of Solar_capacity_kVA,Sum of Battery_Connections,Sum of Battery_capacity_kVA,Sum of Battery_Storage_kVAh,Sum of Num_Other_Connections,Sum of Installed_OtherDER_capacity_kVA
QLD,4156,BUSINESS,11,337.2,11,337.2,0,0,0,0,0
QLD,4402,BUSINESS,11,75.3,11,75.3,0,0,0,0,0
QLD,4423,BUSINESS,11,87.5,11,87.5,0,0,0,0,0
QLD,4427,BUSINESS,11,119.7,11,110.1,1,9.6,9.6,0,0
QLD,4497,BUSINESS,11,142.3,10,132.3,1,10,10.8,0,0
QLD,4498,RESIDENTIAL,11,51,11,51,0,0,0,0,0
QLD,4550,(blank),11,90.8,11,71.6,2,19.2,19.2,0,0
QLD,4554,BUSINESS,11,129.9,11,119.9,1,10,30,0,0
QLD,4575,(blank),11,183.1,11,178.1,1,5,22.1,0,0
QLD,4673,BUSINESS,11,116,11,116,0,0,0,0,0
QLD,4695,BUSINESS,11,99.5,11,99.5,0,0,0,0,0
QLD,4738,BUSINESS,11,171.7,11,171.7,0,0,0,0,0
QLD,4745,BUSINESS,11,496.5,11,496.5,0,0,0,0,0
SA,5008,(blank),11,93.8,11,73.8,2,20,23.2,0,0
SA,5015,(blank),11,115.4,10,110.4,1,5,14,0,0
SA,5042,(blank),11,110.4,11,85.4,3,25,36.3,0,0
SA,5064,(blank),11,133.3,9,103.3,4,30,54.3,0,0
SA,5070,(blank),11,129.3,11,114.3,2,15,24.9,0,0
SA,5073,(blank),11,79.7,9,59.5,3,20.2,35.5,0,0
SA,5091,(blank),11,92.2,9,67.2,4,25,51.1,0,0
SA,5220,BUSINESS,11,124.3,10,119.3,1,5,14,0,0
SA,5221,BUSINESS,11,97.7,11,97.7,0,0,0,0,0
SA,5273,RESIDENTIAL,11,53.8,10,48.8,1,5,14,0,0
SA,5471,RESIDENTIAL,11,49.2,11,49.2,0,0,0,0,0
SA,5495,BUSINESS,11,79.6,11,79.6,0,0,0,0,0
SA,5550,(blank),11,6875,11,6875,0,0,0,0,0
SA,5552,BUSINESS,11,69.1,11,69.1,0,0,0,0,0
SA,5654,BUSINESS,11,96.5,11,96.5,0,0,0,0,0
SA,5731,BUSINESS,11,318.5,11,304.7,1,13.8,30,0,0
TAS,7055,BUSINESS,11,228.8,11,228.8,0,0,0,0,0
TAS,7113,BUSINESS,11,365.3,11,365.3,0,0,0,0,0
TAS,7173,BUSINESS,11,122.1,11,122.1,0,0,0,0,0
