state,post_code,NMI_Bus_res,Sum of Num_DER_Connections,Sum of Installed_DER_capacity_kVA,Sum of Solar_Connections,Sum of Solar_capacity_kVA,Sum of Battery_Connections,Sum of Battery_capacity_kVA,Sum of Battery_Storage_kVAh,Sum of Num_Other_Connections,Sum of Installed_OtherDER_capacity_kVA
NSW,2009,BUSINESS,12,497.9,12,497.9,0,0.0,0.0,0,0.0
NSW,2010,BUSINESS,38,580.2,38,566.2,1,14.0,5.0,0,0.0
NSW,2010,RESIDENTIAL,110,351.5,108,330.9,4,20.6,33.6,0,0.0
NSW,2011,BUSINESS,10,214.5,10,214.5,0,0.0,0.0,0,0.0
NSW,2011,RESIDENTIAL,24,110.1,24,86.9,2,23.2,21.8,0,0.0
NSW,2015,BUSINESS,91,4790.68,90,4525.68,2,265.0,507.4,0,0.0
NSW,2015,RESIDENTIAL,138,482.8,136,462.8,4,20.0,42.8,0,0.0
NSW,2016,BUSINESS,21,431.4,21,431.4,0,0.0,0.0,0,0.0
NSW,2016,RESIDENTIAL,98,375.1,97,340.7,6,34.4,58.8,0,0.0
NSW,2017,RESIDENTIAL,31,86.4,31,86.4,0,0.0,0.0,0,0.0
NSW,2017,BUSINESS,34,794.8,34,794.8,0,0.0,0.0,0,0.0
NSW,2018,BUSINESS,47,683.0,47,683.0,0,0.0,0.0,0,0.0
NSW,2018,RESIDENTIAL,254,1075.8,251,1007.3,11,68.4,108.8,0,0.0
NSW,2019,BUSINESS,64,1830.8,64,1730.8,2,100.0,9.6,0,0.0
NSW,2019,RESIDENTIAL,247,1043.3,247,1008.5,4,34.8,46.5,0,0.0
NSW,2020,BUSINESS,27,962.0,27,962.0,0,0.0,0.0,0,0.0
NSW,2020,RESIDENTIAL,263,1094.9,263,1044.5,7,50.4,63.6,0,0.0
NSW,2021,BUSINESS,19,235.1,19,235.1,0,0.0,0.0,0,0.0
NSW,2021,RESIDENTIAL,177,811.96,177,719.86,13,92.0,98.8,0,0.0
NSW,2022,BUSINESS,11,281.9,11,281.9,0,0.0,0.0,0,0.0
NSW,2022,RESIDENTIAL,219,955.1,214,877.0,13,78.0,138.0,0,0.0
NSW,2023,BUSINESS,12,202.2,12,177.2,1,25.0,26.2,0,0.0
NSW,2023,RESIDENTIAL,163,1172.1,161,1097.3,9,74.8,87.3,0,0.0
NSW,2024,BUSINESS,24,622.8,24,617.8,1,5.0,14.0,0,0.0
NSW,2024,RESIDENTIAL,343,1648.22,333,1490.42,30,157.8,254.6,0,0.0
NSW,2025,BUSINESS,10,105.9,10,105.9,0,0.0,0.0,0,0.0
NSW,2025,RESIDENTIAL,104,537.9,100,478.9,11,59.0,120.9,0,0.0
NSW,2026,BUSINESS,24,1708.5,23,292.5,0,0.0,0.0,1,1416.0
NSW,2026,RESIDENTIAL,475,2216.63,471,2034.03,26,182.6,306.5,0,0.0
NSW,2027,BUSINESS,10,176.5,10,176.5,0,0.0,0.0,0,0.0
NSW,2027,RESIDENTIAL,48,304.8,48,269.8,4,35.0,50.5,0,0.0
NSW,2028,RESIDENTIAL,57,469.8,57,378.9,8,91.0,86.3,0,0.0
NSW,2029,RESIDENTIAL,155,896.9,154,834.5,7,62.4,71.4,0,0.0
NSW,2030,BUSINESS,10,200.0,10,187.5,1,12.5,28.0,0,0.0
NSW,2030,RESIDENTIAL,361,2328.7,352,2060.3,33,268.5,315.3,0,0.0
NSW,2031,BUSINESS,42,771.4,42,771.4,0,0.0,0.0,0,0.0
NSW,2031,RESIDENTIAL,599,2809.88,591,2625.68,27,184.0,283.3,0,0.0
NSW,2032,BUSINESS,14,185.6,14,185.6,0,0.0,0.0,0,0.0
NSW,2032,RESIDENTIAL,326,1503.63,326,1443.23,9,60.4,56.4,0,0.0
NSW,2033,BUSINESS,17,3079.7,14,1329.7,1,250.0,500.0,2,1500.0
NSW,2033,RESIDENTIAL,153,788.7,152,734.1,10,54.7,102.5,0,0.0
NSW,2034,BUSINESS,13,144.5,13,144.5,0,0.0,0.0,0,0.0
NSW,2034,RESIDENTIAL,377,1825.56,371,1724.56,18,101.0,171.5,0,0.0
NSW,2035,BUSINESS,23,497.3,23,497.3,0,0.0,0.0,0,0.0
