state,postcode,NMI_Bus_res,Sum of Num_DER_Connections,Sum of Installed_DER_capacity_kVA,Sum of Solar_Connections,Sum of Solar_capacity_kVA,Sum of Battery_Connections,Sum of Battery_capacity_kVA,Sum of Battery_Storage_kVAh,Sum of Num_Other_Connections,Sum of Installed_OtherDER_capacity_kVA
ACT,<10 sites,,40,13784.0,40,13723.4,6,60.6,78.6,0,0.0
NSW,<10 sites,,932,19590.81,926,19413.74,13,154.9,152.2,2,13.27
QLD,<10 sites,,977,10975.42,971,10737.12,27,238.3,314.0,0,0.0
SA,<10 sites,,811,90481.378,782,37542.878,65,2298.6,2233.1,9,50640.0
TAS,<10 sites,,211,2737.155,207,2686.6,3,40.0,55.8,3,10.555
VIC,<10 sites,,1433,229992.363,1388,78562.273,42,1666.9,1906.8,19,149763.19
WA,<10  sites,,221,1564.8,187,1120.7,0,0.0,0.0,35,444.0
ACT,2600,BUSINESS,80,2764.6,79,2744.6,2,20.0,47.6,0,0.0
ACT,2600,RESIDENTIAL,621,3783.5,601,3407.5,66,376.2,777.7,0,0.0
ACT,2601,BUSINESS,28,28870.56,26,28248.56,1,22.0,120.0,1,600.0
ACT,2602,BUSINESS,37,873.2,37,858.2,1,15.0,42.0,0,0.0
ACT,2602,RESIDENTIAL,2693,15132.66,2629,13477.96,271,1647.1,3025.3,0,0.0
ACT,2603,BUSINESS,37,2620.0,34,1144.9,2,25.1,20.1,3,1450.0
ACT,2603,RESIDENTIAL,643,4552.6,622,3881.7,85,671.0,1314.8,0,0.0
ACT,2604,BUSINESS,12,350.8,12,350.8,0,0.0,0.0,0,0.0
ACT,2604,RESIDENTIAL,514,3042.6,494,2621.1,68,394.5,793.9,0,0.0
ACT,2605,BUSINESS,22,796.4,22,770.9,4,25.5,140.9,0,0.0
ACT,2605,RESIDENTIAL,1115,6559.12,1066,5799.96,131,747.6,1495.3,0,0.0
ACT,2606,BUSINESS,35,837.5,33,800.8,2,36.7,200.0,0,0.0
ACT,2606,RESIDENTIAL,657,3910.413,642,3600.113,57,310.3,645.4,0,0.0
ACT,2607,BUSINESS,15,279.4,15,279.4,0,0.0,0.0,0,0.0
ACT,2607,RESIDENTIAL,1357,7833.0,1313,7174.46,122,653.8,1297.2,0,0.0
ACT,2609,BUSINESS,155,6677.2,152,4580.2,1,15.0,1.2,3,2082.0
ACT,2609,RESIDENTIAL,19,167.8,19,157.8,1,10.0,10.5,0,0.0
ACT,2611,BUSINESS,50,1716.9,48,1032.9,8,54.0,184.3,1,630.0
ACT,2611,,17,152.9,15,132.9,4,20.0,51.1,0,0.0
ACT,2611,RESIDENTIAL,4008,23665.684,3892,21556.474,369,2092.4,4151.1,0,0.0
ACT,2612,BUSINESS,25,806.1,25,806.1,0,0.0,0.0,0,0.0
ACT,2612,RESIDENTIAL,560,3211.17,543,2835.47,61,375.7,681.1,0,0.0
ACT,2614,BUSINESS,24,338.4,24,338.4,0,0.0,0.0,0,0.0
ACT,2614,RESIDENTIAL,2099,11471.315,2048,10557.815,171,909.7,1887.6,0,0.0
ACT,2615,BUSINESS,37,1267.2,36,955.0,2,12.2,21.1,1,300.0
ACT,2615,RESIDENTIAL,5072,27654.479,4946,25430.279,379,2183.0,4298.8,0,0.0
ACT,2617,BUSINESS,60,1611.0,59,1524.5,1,25.0,9.8,1,61.5
ACT,2617,RESIDENTIAL,2749,14969.899,2683,13914.599,189,1047.3,2077.3,0,0.0
ACT,2618,RESIDENTIAL,46,381.5,44,339.5,7,42.0,101.8,0,0.0
ACT,2620,BUSINESS,37,1116.62,37,1116.62,0,0.0,0.0,0,0.0
ACT,2620,RESIDENTIAL,36,230.8,36,230.8,0,0.0,0.0,0,0.0
ACT,2900,BUSINESS,57,2408.5,53,721.6,4,37.0,157.8,2,1650.0
ACT,2900,,10,31280.0,10,31280.0,0,0.0,0.0,0,0.0
ACT,2900,RESIDENTIAL,152,796.9,145,709.6,18,85.3,192.2,0,0.0
ACT,2902,RESIDENTIAL,1847,10103.16,1809,9486.96,113,607.4,1178.2,0,0.0
ACT,2903,BUSINESS,20,268.6,20,268.6,0,0.0,0.0,0,0.0
ACT,2903,RESIDENTIAL,1005,5449.5,979,5078.6,68,370.9,713.9,0,0.0
ACT,2904,BUSINESS,10,172.3,10,172.3,0,0.0,0.0,0,0.0
ACT,2904,RESIDENTIAL,1700,8891.029,1655,8164.429,126,718.7,1389.1,0,0.0
ACT,2905,BUSINESS,26,546.4,26,546.4,0,0.0,0.0,0,0.0
ACT,2905,RESIDENTIAL,3161,17565.2,3068,16307.9,240,1244.3,2443.6,0,0.0
ACT,2906,BUSINESS,22,606.1,22,606.1,0,0.0,0.0,0,0.0
ACT,2906,RESIDENTIAL,1841,10035.975,1788,9332.975,125,695.0,1376.7,0,0.0
ACT,2911,BUSINESS,73,1710.8,73,1705.8,1,5.0,4.5,0,0.0
ACT,2911,RESIDENTIAL,392,2755.7,381,2534.6,39,221.1,458.8,0,0.0
ACT,2912,BUSINESS,38,2119.3,36,1909.6,1,14.7,80.0,1,195.0
ACT,2912,RESIDENTIAL,345,1861.34,336,1745.2,25,111.2,239.2,0,0.0
ACT,2913,BUSINESS,19,448.1,19,448.1,0,0.0,0.0,0,0.0
ACT,2913,RESIDENTIAL,3424,19826.899,3337,18567.199,228,1251.5,2451.6,0,0.0
ACT,2914,BUSINESS,13,491.1,13,491.1,0,0.0,0.0,0,0.0
ACT,2914,RESIDENTIAL,2815,18111.084,2725,16719.185,249,1376.5,2787.0,0,0.0
NSW,2000,BUSINESS,82,1098.745,74,1054.2,0,0.0,0.0,8,44.545
NSW,2000,RESIDENTIAL,17,84.4,17,84.4,0,0.0,0.0,0,0.0
NSW,2007,BUSINESS,15,615.0,15,615.0,0,0.0,0.0,0,0.0
NSW,2007,RESIDENTIAL,14,52.5,14,52.5,0,0.0,0.0,0,0.0
NSW,2008,BUSINESS,15,2738.2,13,353.2,1,5.0,9.8,2,2380.0
