state,postcode,NMI_Bus_res,Sum of Num_DER_Connections,Sum of Installed_DER_capacity_kVA,Sum of Solar_Connections,Sum of Solar_capacity_kVA,Sum of Battery_Connections,Sum of Battery_capacity_kVA,Sum of Battery_Storage_kVAh,Sum of Num_Other_Connections,Sum of Installed_OtherDER_capacity_kVA
ACT,2600,BUSINESS,90,3513.8,89,3493.8,2,20.0,47.6,0,0.0
ACT,2600,RESIDENTIAL,766,5286.0,726,4712.6,100,573.8,1204.0,0,0.0
ACT,2601,BUSINESS,46,30048.96,43,29416.96,2,32.0,148.0,1,600.0
ACT,2602,BUSINESS,49,1676.4,49,1661.4,1,15.0,42.0,0,0.0
ACT,2602,RESIDENTIAL,3417,21389.74,3290,19090.94,381,2291.5,4473.9,0,0.0
ACT,2603,BUSINESS,43,2985.3,39,1525.2,2,10.1,24.3,3,1450.0
ACT,2603,RESIDENTIAL,805,6249.0,758,5311.3,128,937.8,1928.2,0,0.0
ACT,2604,BUSINESS,20,325.7,17,301.1,4,24.6,58.0,0,0.0
ACT,2604,RESIDENTIAL,630,4282.2,602,3769.3,86,513.9,1064.1,0,0.0
ACT,2605,BUSINESS,24,833.8,23,808.3,5,26.5,140.9,0,0.0
ACT,2605,RESIDENTIAL,1383,9224.36,1302,8178.06,186,1040.9,2210.5,0,0.0
ACT,2606,BUSINESS,45,1132.3,42,1085.6,3,46.7,228.0,0,0.0
ACT,2606,RESIDENTIAL,834,5478.013,803,5043.413,76,434.5,908.0,0,0.0
ACT,2607,BUSINESS,26,575.1,26,575.1,0,0.0,0.0,0,0.0
ACT,2607,RESIDENTIAL,1725,11361.26,1649,10358.86,178,998.5,2061.4,0,0.0
ACT,2609,RESIDENTIAL,27,325.2,27,315.2,1,10.0,10.5,0,0.0
ACT,2609,BUSINESS,194,8224.3,190,6122.3,2,20.0,15.2,3,2082.0
ACT,2611,(blank),22,210.9,19,185.9,5,25.0,65.1,0,0.0
ACT,2611,BUSINESS,74,2132.4,70,1375.8,20,126.6,315.0,1,630.0
ACT,2611,RESIDENTIAL,5279,35806.555,5041,32564.455,577,3227.5,6779.8,0,0.0
ACT,2612,BUSINESS,35,1364.6,35,1364.6,0,0.0,0.0,0,0.0
ACT,2612,RESIDENTIAL,675,4268.37,646,3791.67,79,476.8,894.2,0,0.0
ACT,2614,BUSINESS,26,350.0,26,350.0,0,0.0,0.0,0,0.0
ACT,2614,RESIDENTIAL,2588,15917.655,2493,14550.855,247,1363.0,2871.7,0,0.0
ACT,2615,(blank),11,66.9,11,66.9,0,0.0,0.0,0,0.0
ACT,2615,BUSINESS,43,1435.9,41,1108.3,3,27.6,46.7,1,300.0
ACT,2615,RESIDENTIAL,6529,39705.104,6291,36322.704,616,3362.2,6981.9,0,0.0
