state,postcode,NMI_Bus_res,Sum of Num_DER_Connections,Sum of Installed_DER_capacity_kVA,Sum of Solar_Connections,Sum of Solar_capacity_kVA,Sum of Battery_Connections,Sum of Battery_capacity_kVA,Sum of Battery_Storage_kVAh,Sum of Num_Other_Connections,Sum of Installed_OtherDER_capacity_kVA
ACT,< 10 sites,,23,13504.5,23,13474.5,2,30.0,32.2,0,0.0
NSW,< 10 sites,,935,19796.1,929,19628.6,16,168.5,179.2,0,0.0
QLD,< 10 sites,,994,37769.094,987,37591.194,20,177.9,266.0,0,0.0
SA,< 10 sites,,693,32439.07,680,31847.37,67,591.7,807.2,0,0.0
TAS,< 10 sites,,206,3646.508,202,2497.8,2,27.5,41.8,3,1121.208
VIC,< 10 sites,,1481,216858.879,1449,65013.879,23,193.3,264.4,19,151651.7
WA,< 10 sites,,198,1285.5,165,891.4,0,0.0,0.0,34,394.0
ACT,2600,BUSINESS,64,2440.1,64,2430.1,1,10.0,19.6,0,0.0
ACT,2600,RESIDENTIAL,533,2977.2,526,2705.5,45,271.8,523.1,0,0.0
ACT,2601,BUSINESS,27,29515.6,26,28915.6,0,0.0,0.0,1,600.0
ACT,2602,BUSINESS,35,766.0,35,751.0,1,15.0,42.0,0,0.0
ACT,2602,RESIDENTIAL,2160,10452.49,2146,9322.99,167,1130.1,1771.4,0,0.0
ACT,2603,BUSINESS,32,2608.96,29,1138.96,1,20.0,9.8,3,1450.0
ACT,2603,RESIDENTIAL,492,3155.1,487,2637.9,56,517.3,951.9,0,0.0
ACT,2604,BUSINESS,10,208.1,10,208.1,0,0.0,0.0,0,0.0
ACT,2604,RESIDENTIAL,404,2068.3,401,1770.8,41,293.5,521.8,0,0.0
ACT,2605,BUSINESS,21,736.5,20,705.0,5,26.5,140.9,0,0.0
ACT,2605,RESIDENTIAL,894,4493.1,885,4047.1,72,434.5,758.9,0,0.0
ACT,2606,BUSINESS,29,578.2,29,578.2,0,0.0,0.0,0,0.0
ACT,2606,RESIDENTIAL,546,2624.375,541,2436.975,32,187.5,369.5,0,0.0
ACT,2607,BUSINESS,14,264.2,14,264.2,0,0.0,0.0,0,0.0
ACT,2607,RESIDENTIAL,1076,5225.99,1069,4855.69,61,366.4,630.1,0,0.0
ACT,2609,BUSINESS,126,5681.59,123,3584.59,1,15.0,1.2,3,2082.0
