state,postcode,NMI_Bus_res,Sum of Num_DER_Connections,Sum of Installed_DER_capacity_kVA,Sum of Solar_Connections,Sum of Solar_capacity_kVA,Sum of Battery_Connections,Sum of Battery_capacity_kVA,Sum of Battery_Storage_kVAh,Sum of Num_Other_Connections,Sum of Installed_OtherDER_capacity_kVA
NSW,2000,RESIDENTIAL,17,84.4,17,84.4,0,0.0,0.0,0,0.0
NSW,2000,BUSINESS,82,1055.645,74,1011.1,0,0.0,0.0,8,44.545
NSW,2007,RESIDENTIAL,10,34.5,10,34.5,0,0.0,0.0,0,0.0
NSW,2007,BUSINESS,16,616.5,16,616.5,0,0.0,0.0,0,0.0
NSW,2008,BUSINESS,14,356.4,13,344.8,1,5.0,9.8,1,6.6
NSW,2008,RESIDENTIAL,55,178.5,55,168.5,2,10.0,20.9,0,0.0
NSW,2009,RESIDENTIAL,12,39.7,12,39.7,0,0.0,0.0,0,0.0
NSW,2009,BUSINESS,19,623.9,19,623.9,0,0.0,0.0,0,0.0
NSW,2010,BUSINESS,40,615.4,40,601.4,1,14.0,5.0,0,0.0
NSW,2010,RESIDENTIAL,118,380.0,116,359.4,4,20.6,33.6,0,0.0
NSW,2011,BUSINESS,11,249.9,11,244.9,1,5.0,14.0,0,0.0
NSW,2011,RESIDENTIAL,25,112.1,25,88.9,2,23.2,21.8,0,0.0
NSW,2015,BUSINESS,98,4912.3,97,4647.3,2,265.0,507.4,0,0.0
NSW,2015,RESIDENTIAL,146,550.875,143,520.875,6,30.0,70.8,0,0.0
NSW,2016,BUSINESS,21,431.4,21,431.4,0,0.0,0.0,0,0.0
NSW,2016,RESIDENTIAL,103,395.4,102,361.0,6,34.4,58.8,0,0.0
NSW,2017,BUSINESS,33,792.8,33,792.8,0,0.0,0.0,0,0.0
NSW,2017,RESIDENTIAL,40,188.8,40,188.8,0,0.0,0.0,0,0.0
NSW,2018,BUSINESS,49,703.8,49,703.8,0,0.0,0.0,0,0.0
NSW,2018,RESIDENTIAL,268,1184.7,265,1116.2,11,68.4,108.8,0,0.0
NSW,2019,BUSINESS,65,1841.3,65,1741.3,2,100.0,9.6,0,0.0
NSW,2019,RESIDENTIAL,259,1143.7,258,1095.3,7,48.4,82.9,0,0.0
NSW,2020,BUSINESS,28,968.66,27,962.0,0,0.0,0.0,1,6.66
NSW,2020,RESIDENTIAL,273,1164.3,273,1108.9,8,55.4,69.3,0,0.0
NSW,2021,BUSINESS,22,246.2,22,246.2,0,0.0,0.0,0,0.0
NSW,2021,RESIDENTIAL,185,854.34,185,762.24,13,92.0,98.8,0,0.0
NSW,2022,BUSINESS,11,281.9,11,281.9,0,0.0,0.0,0,0.0
NSW,2022,RESIDENTIAL,240,1101.4,235,1009.2,14,92.2,194.8,0,0.0
NSW,2023,BUSINESS,11,138.5,11,113.5,1,25.0,26.2,0,0.0
NSW,2023,RESIDENTIAL,169,1278.6,167,1203.8,9,74.8,87.3,0,0.0
NSW,2024,BUSINESS,22,592.0,22,592.0,0,0.0,0.0,0,0.0
NSW,2024,RESIDENTIAL,361,1803.8,351,1631.0,33,172.8,296.1,0,0.0
NSW,2025,BUSINESS,16,198.2,16,198.2,0,0.0,0.0,0,0.0
NSW,2025,RESIDENTIAL,109,575.63,105,516.63,11,59.0,120.9,0,0.0
NSW,2026,BUSINESS,27,1760.0,26,344.0,0,0.0,0.0,1,1416.0
NSW,2026,RESIDENTIAL,503,2508.6,498,2305.2,30,203.6,350.8,0,0.0
NSW,2027,BUSINESS,10,176.5,10,176.5,0,0.0,0.0,0,0.0
NSW,2027,RESIDENTIAL,49,319.8,49,284.8,4,35.0,50.5,0,0.0
NSW,2028,RESIDENTIAL,63,528.4,63,437.5,8,91.0,86.3,0,0.0
NSW,2029,RESIDENTIAL,171,1046.76,170,974.36,9,72.4,91.7,0,0.0
NSW,2030,BUSINESS,11,202.0,11,189.5,1,12.5,28.0,0,0.0
NSW,2030,RESIDENTIAL,391,2561.199,379,2267.799,38,293.5,385.3,0,0.0
NSW,2031,BUSINESS,45,824.2,45,824.2,0,0.0,0.0,0,0.0
NSW,2031,RESIDENTIAL,632,3069.355,624,2880.255,28,189.0,297.3,0,0.0
NSW,2032,BUSINESS,15,220.2,15,220.2,0,0.0,0.0,0,0.0
NSW,2032,RESIDENTIAL,337,1599.86,337,1539.46,9,60.4,56.4,0,0.0
NSW,2033,BUSINESS,19,3092.94,14,1329.7,1,250.0,500.0,4,1513.24
NSW,2033,RESIDENTIAL,162,884.3,161,819.7,11,64.7,115.3,0,0.0
NSW,2034,BUSINESS,14,156.4,14,156.4,0,0.0,0.0,0,0.0
NSW,2034,RESIDENTIAL,400,2024.39,394,1905.29,20,119.0,211.5,0,0.0
NSW,2035,BUSINESS,25,537.1,25,537.1,0,0.0,0.0,0,0.0
NSW,2035,RESIDENTIAL,933,4310.88,923,4166.28,28,144.6,308.5,0,0.0
NSW,2036,BUSINESS,53,1102.8,53,1102.8,0,0.0,0.0,0,0.0
NSW,2036,RESIDENTIAL,986,4764.97,981,4619.77,28,145.2,241.8,0,0.0
NSW,2037,BUSINESS,25,320.7,25,320.7,0,0.0,0.0,0,0.0
NSW,2037,RESIDENTIAL,241,962.9,239,879.5,14,83.3,128.6,0,0.0
NSW,2038,BUSINESS,19,233.0,19,233.0,0,0.0,0.0,0,0.0
NSW,2038,RESIDENTIAL,296,1156.1,291,1076.7,14,79.5,164.2,0,0.0
NSW,2039,BUSINESS,14,170.6,14,170.6,0,0.0,0.0,0,0.0
NSW,2039,RESIDENTIAL,196,715.1,196,673.6,6,41.5,47.1,0,0.0
NSW,2040,BUSINESS,53,1309.1,53,1309.1,0,0.0,0.0,0,0.0
NSW,2040,RESIDENTIAL,709,2876.22,703,2751.62,23,124.6,200.0,0,0.0
NSW,2041,BUSINESS,15,119.0,15,119.0,0,0.0,0.0,0,0.0
NSW,2041,RESIDENTIAL,450,1774.5,443,1679.2,19,95.3,201.7,0,0.0
NSW,2042,BUSINESS,37,540.6,37,509.4,2,31.2,48.9,0,0.0
NSW,2042,RESIDENTIAL,445,1573.62,445,1533.52,6,40.0,54.3,0,0.0
NSW,2043,BUSINESS,11,280.8,11,280.8,0,0.0,0.0,0,0.0
NSW,2043,RESIDENTIAL,116,394.4,114,372.4,4,22.0,54.3,0,0.0
NSW,2044,BUSINESS,45,2195.8,45,2182.0,1,13.8,6.0,0,0.0
NSW,2044,RESIDENTIAL,332,1174.2,330,1140.2,6,34.0,66.3,0,0.0
NSW,2045,RESIDENTIAL,255,1591.1,249,1427.3,25,154.3,266.0,0,0.0
NSW,2046,BUSINESS,34,1271.2,34,1271.2,0,0.0,0.0,0,0.0
NSW,2046,RESIDENTIAL,745,3654.16,738,3504.56,27,149.6,249.1,0,0.0
NSW,2047,BUSINESS,10,85.8,10,85.8,0,0.0,0.0,0,0.0
NSW,2047,RESIDENTIAL,232,1123.5,226,1054.2,13,69.3,147.4,0,0.0
NSW,2048,BUSINESS,12,367.3,12,367.3,0,0.0,0.0,0,0.0
NSW,2048,RESIDENTIAL,195,777.199,195,742.099,5,35.1,48.7,0,0.0
NSW,2049,BUSINESS,18,308.9,18,308.9,0,0.0,0.0,0,0.0
NSW,2049,RESIDENTIAL,292,1141.7,290,1084.8,12,56.9,81.3,0,0.0
NSW,2050,BUSINESS,56,383.1,56,383.1,0,0.0,0.0,0,0.0
NSW,2050,RESIDENTIAL,97,345.9,94,315.6,7,30.3,72.6,0,0.0
NSW,2060,BUSINESS,25,440.36,23,427.2,0,0.0,0.0,2,13.16
NSW,2060,RESIDENTIAL,146,707.7,145,654.9,10,52.9,102.5,0,0.0
NSW,2061,RESIDENTIAL,15,66.4,15,55.4,2,11.0,23.8,0,0.0
NSW,2062,RESIDENTIAL,137,675.0,135,618.0,11,57.0,105.7,0,0.0
NSW,2063,RESIDENTIAL,345,2032.2,335,1899.9,19,132.2,206.5,0,0.0
NSW,2064,BUSINESS,62,1677.8,62,1669.1,1,8.6,7.4,0,0.0
NSW,2064,RESIDENTIAL,180,917.8,178,857.0,13,60.8,138.5,0,0.0
NSW,2065,BUSINESS,39,881.7,39,881.7,0,0.0,0.0,0,0.0
NSW,2065,RESIDENTIAL,519,2410.1,516,2279.5,24,130.6,207.0,0,0.0
NSW,2066,BUSINESS,50,945.2,50,945.2,0,0.0,0.0,0,0.0
NSW,2066,RESIDENTIAL,1104,5866.68,1095,5484.98,66,381.8,621.2,0,0.0
NSW,2067,BUSINESS,38,988.5,38,988.5,0,0.0,0.0,0,0.0
NSW,2067,RESIDENTIAL,594,2718.5,587,2560.6,27,157.8,271.1,0,0.0
NSW,2068,BUSINESS,23,539.7,22,366.7,0,0.0,0.0,1,173.0
NSW,2068,RESIDENTIAL,816,4497.28,807,4177.58,48,319.8,489.4,0,0.0
NSW,2069,BUSINESS,20,415.7,20,415.7,0,0.0,0.0,0,0.0
NSW,2069,RESIDENTIAL,649,3536.3,644,3314.6,33,221.6,316.7,0,0.0
NSW,2070,BUSINESS,12,147.7,12,142.3,1,5.4,5.0,0,0.0
NSW,2070,RESIDENTIAL,610,3585.115,597,3227.515,50,357.6,500.9,0,0.0
