state,postcode,NMI_Bus_res,Sum of Num_DER_Connections,Sum of Installed_DER_capacity_kVA,Sum of Solar_Connections,Sum of Solar_capacity_kVA,Sum of Battery_Connections,Sum of Battery_capacity_kVA,Sum of Battery_Storage_kVAh,Sum of Num_Other_Connections,Sum of Installed_OtherDER_capacity_kVA
VIC,3195,BUSINESS,354,11527.1,350,11476.6,8,50.5,67.2,0,0
VIC,3929,RESIDENTIAL,360,2948.3,347,2725.5,37,222.8,411.4,0,0
VIC,3959,RESIDENTIAL,364,1553.95,363,1553.95,1,0,0,0,0
VIC,3026,BUSINESS,365,22510.07,364,22475.07,1,20,12.6,1,15
VIC,3074,BUSINESS,365,30038.585,357,8837.925,7,21194,46996,1,6.66
VIC,3810,BUSINESS,366,8168.2,365,7988.2,1,180,215.9,0,0
VIC,3831,RESIDENTIAL,366,1763.44,357,1719.24,9,44.2,76.1,0,0
VIC,3621,RESIDENTIAL,369,1972.52,364,1943.52,6,29,52.7,0,0
VIC,3142,RESIDENTIAL,370,2774.95,366,2636.55,23,138.5,240.7,0,0
VIC,3304,RESIDENTIAL,371,1814.395,370,1795.395,3,19,25.1,0,0
VIC,3373,RESIDENTIAL,372,1976.25,368,1938.25,7,38,54.7,0,0
VIC,3638,RESIDENTIAL,372,2093.06,367,2066.06,6,27,58.1,0,0
VIC,3182,RESIDENTIAL,374,15262.67,364,15111.07,25,151.6,318.2,0,0
VIC,3364,RESIDENTIAL,374,2167.84,367,2052.94,18,115,191.3,0,0
VIC,3683,RESIDENTIAL,374,1830.56,372,1755.16,7,75.4,83.9,0,0
VIC,3758,RESIDENTIAL,374,2001.1,368,1957.6,7,43.5,77.4,0,0
VIC,3393,RESIDENTIAL,375,1828.235,372,1782.735,7,45.5,68.9,0,0
VIC,3673,RESIDENTIAL,375,1802.43,370,1780.23,5,22.2,47.5,0,0
VIC,3549,RESIDENTIAL,378,2662.04,376,2604.04,3,58,144.8,0,0
VIC,3328,RESIDENTIAL,379,2331.107,369,2181.107,21,145,274.7,1,5
VIC,3093,RESIDENTIAL,380,2574.424,366,2448.724,17,125.7,183.9,0,0
VIC,3370,RESIDENTIAL,383,2566.17,378,2500.17,12,66,135.7,0,0
VIC,3240,RESIDENTIAL,387,2569.135,377,2330.99,25,226.6,317.8,2,11.645
VIC,3061,RESIDENTIAL,389,2270.734,387,2251.734,4,19,38.8,0,0
VIC,3249,RESIDENTIAL,395,2216.744,386,2039.044,18,160,336.8,4,17.7
VIC,3020,BUSINESS,399,30769.024,398,30264.024,1,5,6.9,1,500
VIC,3478,RESIDENTIAL,399,1903.86,394,1847.86,12,56,124.9,0,0
VIC,3418,RESIDENTIAL,404,1933.72,403,1911.52,3,22.2,24.2,0,0
VIC,3501,RESIDENTIAL,404,3221.015,402,3201.015,3,20,35.7,0,0
VIC,3707,RESIDENTIAL,404,1944.875,402,1915.375,3,29.5,36,0,0
VIC,3350,BUSINESS,407,29419.09,404,29329.09,6,90,212.8,0,0
VIC,3453,RESIDENTIAL,408,2477.04,402,2327.04,19,150,277.2,0,0
VIC,3823,RESIDENTIAL,412,2000.125,404,1943.125,8,57,65.3,0,0
VIC,3793,RESIDENTIAL,416,2015.475,406,1935.975,10,79.5,100.3,0,0
VIC,3927,RESIDENTIAL,422,2526.2,418,2444.5,16,81.6,132.3,0,0
VIC,3054,RESIDENTIAL,431,1837.38,423,1748.58,19,88.9,197.2,0,0
VIC,3919,RESIDENTIAL,439,2193.66,425,2102.76,25,90.8,152.1,0,0
VIC,3816,RESIDENTIAL,441,2134.75,434,2103.65,7,31.1,78.8,0,0
VIC,3284,RESIDENTIAL,442,2384.83,437,2312.23,12,72.6,120.9,0,0
VIC,3781,RESIDENTIAL,443,2246.025,435,2190.225,9,55.8,83.3,0,0
VIC,3675,RESIDENTIAL,445,2379.235,437,2297.335,8,81.9,90.4,0,0
VIC,3241,RESIDENTIAL,446,2468.505,436,2335.405,20,126.6,176.6,1,6.6
VIC,3181,RESIDENTIAL,451,2155.019,449,2042.119,17,112.9,209.7,0,0
VIC,3153,BUSINESS,452,10322.735,447,10248.635,6,74.1,107.6,0,0
VIC,3206,RESIDENTIAL,452,2291.05,446,2101.95,18,189.1,239.2,0,0
VIC,3500,BUSINESS,453,60044.128,453,60015.828,3,28.3,56.9,0,0
VIC,3770,RESIDENTIAL,453,2520.515,440,2447.215,15,73.3,130.1,0,0
VIC,3200,RESIDENTIAL,455,2060,451,2011,10,49,76,0,0
VIC,3233,RESIDENTIAL,456,2778.405,441,2496.305,45,282.3,562.4,0,0
VIC,3207,RESIDENTIAL,460,2032.84,452,1953.64,15,79.2,193.2,0,0
VIC,3458,RESIDENTIAL,460,2941.749,453,2789.849,26,152,294.5,0,0
VIC,3154,RESIDENTIAL,461,2390.32,453,2315.92,10,74.4,101.8,0,0
VIC,3550,BUSINESS,463,12011.014,463,11991.014,3,20,55,0,0
VIC,3630,BUSINESS,463,10643.929,463,10618.929,3,25,33.6,0,0
VIC,3114,RESIDENTIAL,465,3045.57,450,2963.97,17,81.6,151.1,0,0
VIC,3515,RESIDENTIAL,465,2988.99,463,2950.09,8,39,80.9,0,0
VIC,3115,RESIDENTIAL,467,3091.555,454,2971.655,15,119.9,151,0,0
VIC,3022,RESIDENTIAL,470,1987.964,470,1963.964,3,24,38.6,0,0
VIC,3815,RESIDENTIAL,470,2544.12,463,2518.02,7,26.1,66,0,0
VIC,3904,RESIDENTIAL,470,2418.335,461,2325.735,10,92.6,129.5,0,0
VIC,3260,RESIDENTIAL,471,2586.895,464,2502.395,12,74,160.4,2,10.5
VIC,3797,RESIDENTIAL,472,2365.16,468,2251.86,7,113.3,78.1,0,0
VIC,3126,RESIDENTIAL,473,3070.609,465,2826.709,24,244,516.3,0,0
