state,postcode,NMI_Bus_res,Sum of Num_DER_Connections,Sum of Installed_DER_capacity_kVA,Sum of Solar_Connections,Sum of Solar_capacity_kVA,Sum of Battery_Connections,Sum of Battery_capacity_kVA,Sum of Battery_Storage_kVAh,Sum of Num_Other_Connections,Sum of Installed_OtherDER_capacity_kVA
ACT,<10 sites,,41,13865.1,41,13819.9,4,45.2,53.0,0,0.0
NSW,<10 sites,,938,19803.67,931,19611.5,16,179.9,204.4,2,13.27
QLD,<10 sites,,849,9850.92,847,9623.52,23,227.4,277.8,0,0.0
SA,<10 sites,,830,102958.771,793,38365.471,63,2264.4,2202.4,16,62329.0
TAS,<10 sites,,215,2969.255,211,2918.7,3,40.0,55.8,3,10.555
VIC,<10 sites,,1448,235304.468,1401,78855.488,46,6684.3,15490.9,20,149764.78
WA,<10 sites,,253,1515.6,249,1428.6,0,0.0,0.0,5,87.0
TAS,7470,RESIDENTIAL,65,322.9,65,317.9,1,5.0,6.9,0,0.0
TAS,7469,RESIDENTIAL,59,313.6,59,298.6,3,15.0,20.7,0,0.0
TAS,7468,RESIDENTIAL,40,225.1,40,205.1,4,20.0,27.4,0,0.0
TAS,7467,RESIDENTIAL,112,589.2,112,579.2,2,10.0,13.7,0,0.0
TAS,7331,RESIDENTIAL,34,170.46,33,163.8,0,0.0,0.0,1,6.66
TAS,7330,BUSINESS,54,979.07,54,979.07,0,0.0,0.0,0,0.0
TAS,7330,RESIDENTIAL,429,2308.74,427,2280.74,5,28.0,41.7,0,0.0
TAS,7325,BUSINESS,44,704.7,44,704.7,0,0.0,0.0,0,0.0
TAS,7325,RESIDENTIAL,765,3758.319,756,3638.719,16,114.6,1531.3,0,0.0
TAS,7322,BUSINESS,12,289.7,12,289.7,0,0.0,0.0,0,0.0
TAS,7322,RESIDENTIAL,317,1599.51,310,1544.51,7,54.4,506.6,1,0.6
TAS,7321,BUSINESS,32,414.45,30,383.2,2,27.5,29.4,1,3.75
TAS,7321,RESIDENTIAL,476,2415.82,467,2314.82,16,82.1,591.5,1,10.0
TAS,7320,BUSINESS,71,1896.0,71,1896.0,0,0.0,0.0,0,0.0
TAS,7320,RESIDENTIAL,972,4783.07,966,4724.67,11,55.4,85.6,0,0.0
TAS,7316,BUSINESS,24,249.2,24,247.2,1,2.0,14.0,0,0.0
TAS,7316,RESIDENTIAL,602,3027.43,588,2931.66,17,90.7,2667.6,1,0.37
TAS,7315,BUSINESS,79,1229.6,77,1203.8,2,25.8,28.0,0,0.0
TAS,7315,RESIDENTIAL,1328,6718.5,1308,6518.8,28,187.2,745.1,1,6.6
TAS,7310,BUSINESS,146,3871.16,145,3864.56,0,0.0,0.0,1,6.6
TAS,7310,RESIDENTIAL,2029,9875.158,1997,9605.668,51,253.1,3057.8,2,5.04
TAS,7307,BUSINESS,52,5317.15,52,5317.15,0,0.0,0.0,0,0.0
TAS,7307,RESIDENTIAL,1120,5827.06,1109,5688.36,21,138.8,653.6,0,0.0
TAS,7306,BUSINESS,25,864.9,25,450.9,1,414.0,70.0,0,0.0
TAS,7306,RESIDENTIAL,457,2157.7,450,2094.7,11,58.0,989.0,1,5.0
TAS,7305,RESIDENTIAL,122,566.1,120,543.1,4,22.9,488.9,0,0.0
TAS,7304,BUSINESS,66,1163.21,66,1163.21,0,0.0,0.0,0,0.0
TAS,7304,RESIDENTIAL,639,3082.84,629,2986.7,17,87.3,787.3,0,0.0
TAS,7303,BUSINESS,22,464.8,22,464.8,0,0.0,0.0,0,0.0
TAS,7303,RESIDENTIAL,321,1655.13,311,1570.83,12,79.2,146.5,1,5.0
TAS,7302,BUSINESS,21,373.1,20,348.1,1,25.0,28.0,0,0.0
TAS,7302,RESIDENTIAL,114,597.47,109,548.57,7,48.9,483.3,0,0.0
TAS,7301,BUSINESS,43,868.2,41,823.3,2,44.9,56.0,0,0.0
TAS,7301,RESIDENTIAL,450,2308.4,443,2257.4,7,44.4,86.3,1,6.6
TAS,7300,RESIDENTIAL,380,1940.6,375,1890.3,9,46.8,259.5,0,0.0
TAS,7292,RESIDENTIAL,47,330.9,44,296.4,5,34.4,552.3,0,0.0
TAS,7291,RESIDENTIAL,76,471.16,73,443.76,4,27.4,38.4,0,0.0
TAS,7290,RESIDENTIAL,218,1176.4,215,1117.5,7,59.0,6080.4,0,0.0
TAS,7277,BUSINESS,19,626.9,18,500.6,1,126.3,126.0,0,0.0
TAS,7277,RESIDENTIAL,831,4403.255,802,4133.24,37,264.6,521.2,0,0.0
TAS,7276,RESIDENTIAL,64,278.6,64,278.6,0,0.0,0.0,0,0.0
TAS,7275,BUSINESS,16,169.015,16,169.015,0,0.0,0.0,0,0.0
TAS,7275,RESIDENTIAL,439,2191.34,426,2063.94,16,127.4,205.7,0,0.0
TAS,7270,BUSINESS,18,205.3,18,205.3,0,0.0,0.0,0,0.0
TAS,7270,RESIDENTIAL,693,3224.29,686,3057.99,20,166.3,293.8,0,0.0
TAS,7268,BUSINESS,11,134.9,9,117.7,2,17.2,38.0,0,0.0
TAS,7268,RESIDENTIAL,117,511.7,112,485.6,6,26.1,176.6,0,0.0
TAS,7267,RESIDENTIAL,103,500.7,98,473.0,5,27.7,756.4,0,0.0
TAS,7265,RESIDENTIAL,19,84.5,19,84.5,0,0.0,0.0,0,0.0
TAS,7264,RESIDENTIAL,72,320.3,70,288.3,2,6.0,5.6,0,0.0
TAS,7263,RESIDENTIAL,54,242.4,54,237.4,1,5.0,14.0,0,0.0
TAS,7262,BUSINESS,14,179.9,14,179.9,0,0.0,0.0,0,0.0
TAS,7262,RESIDENTIAL,217,1026.04,211,934.84,8,91.2,214.3,0,0.0
TAS,7261,RESIDENTIAL,31,169.0,30,150.7,1,18.3,28.0,0,0.0
TAS,7260,BUSINESS,34,778.1,32,761.5,0,0.0,0.0,2,16.6
TAS,7260,RESIDENTIAL,314,1411.5,308,1375.0,8,36.4,75.3,0,0.0
TAS,7259,RESIDENTIAL,55,249.1,53,236.4,2,12.6,19.4,0,0.0
TAS,7258,RESIDENTIAL,114,778.2,107,694.4,7,83.8,193.2,0,0.0
TAS,7254,RESIDENTIAL,63,284.6,61,269.6,2,15.0,15.0,0,0.0
TAS,7253,BUSINESS,25,483.05,25,483.05,0,0.0,0.0,0,0.0
TAS,7253,RESIDENTIAL,538,2623.01,524,2518.91,17,104.2,831.1,0,0.0
TAS,7252,BUSINESS,10,439.3,9,437.8,0,0.0,0.0,1,1.5
TAS,7252,RESIDENTIAL,430,2214.52,421,2122.62,17,91.9,198.0,0,0.0
TAS,7250,BUSINESS,179,4343.16,172,4097.14,7,241.6,211.8,1,4.62
TAS,7250,RESIDENTIAL,3880,19662.615,3787,18759.515,135,896.2,3453.7,1,6.6
TAS,7249,BUSINESS,67,1667.6,66,1652.6,1,15.0,28.0,0,0.0
TAS,7249,RESIDENTIAL,880,4326.685,857,4123.025,28,197.6,342.6,1,0.6
TAS,7248,BUSINESS,101,2506.14,99,2480.24,2,25.8,22.8,0,0.0
TAS,7248,RESIDENTIAL,912,4092.76,902,4002.26,15,90.5,148.3,0,0.0
TAS,7216,BUSINESS,43,27188.0,43,27188.0,0,0.0,0.0,0,0.0
TAS,7216,RESIDENTIAL,539,2662.26,533,2572.46,10,89.8,499.7,0,0.0
TAS,7215,BUSINESS,31,307.4,31,307.4,0,0.0,0.0,0,0.0
TAS,7215,RESIDENTIAL,633,2975.0,624,2878.8,17,92.6,176.6,0,0.0
TAS,7214,RESIDENTIAL,64,235.015,64,235.015,0,0.0,0.0,0,0.0
