STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,DWTSTRD,Dwelling structure,SUM,Summation,REGION,Region,REGION_TYPE,Region Type,STATE,State,TIME_PERIOD,Time Period,OBS_VALUE,Observation Value
DATAFLOW,ABS:C21_G36_LGA(1.0.0),"Census 2021, G36 Dwelling structure, Local Government Area 2021 (LGA 2021 boundaries)",I,33,Flat or apartment: In a four to eight storey block,D,Dwellings,29799,Migratory - Offshore - Shipping (Vic.),LGA2021,Local Government Areas (2021),2,Victoria,2021,,0,
DATAFLOW,ABS:C21_G36_LGA(1.0.0),"Census 2021, G36 Dwelling structure, Local Government Area 2021 (LGA 2021 boundaries)",I,35,Flat or apartment: Attached to a house,D,Dwellings,30410,Barcaldine,LGA2021,Local Government Areas (2021),3,Queensland,2021,,0,
DATAFLOW,ABS:C21_G36_LGA(1.0.0),"Census 2021, G36 Dwelling structure, Local Government Area 2021 (LGA 2021 boundaries)",I,32,Flat or apartment: In a three storey block,D,Dwellings,31000,Brisbane,LGA2021,Local Government Areas (2021),3,Queensland,2021,,32748,
DATAFLOW,ABS:C21_G36_LGA(1.0.0),"Census 2021, G36 Dwelling structure, Local Government Area 2021 (LGA 2021 boundaries)",I,91,Other dwelling: Caravan,D,Dwellings,32500,Cook,LGA2021,Local Government Areas (2021),3,Queensland,2021,,56,
DATAFLOW,ABS:C21_G36_LGA(1.0.0),"Census 2021, G36 Dwelling structure, Local Government Area 2021 (LGA 2021 boundaries)",I,_T,Total private dwellings,D,Dwellings,33360,Gladstone,LGA2021,Local Government Areas (2021),3,Queensland,2021,,27264,
DATAFLOW,ABS:C21_G36_LGA(1.0.0),"Census 2021, G36 Dwelling structure, Local Government Area 2021 (LGA 2021 boundaries)",I,2,"Semi-detached, row or terrace house, townhouse etc with: Total",D,Dwellings,33800,Hinchinbrook,LGA2021,Local Government Areas (2021),3,Queensland,2021,,200,
DATAFLOW,ABS:C21_G36_LGA(1.0.0),"Census 2021, G36 Dwelling structure, Local Government Area 2021 (LGA 2021 boundaries)",I,OCC,Total occupied private dwellings,D,Dwellings,34830,Mapoon,LGA2021,Local Government Areas (2021),3,Queensland,2021,,94,
DATAFLOW,ABS:C21_G36_LGA(1.0.0),"Census 2021, G36 Dwelling structure, Local Government Area 2021 (LGA 2021 boundaries)",I,22,"Semi-detached, row or terrace house, townhouse etc with: Two or more storeys",D,Dwellings,35250,Mornington,LGA2021,Local Government Areas (2021),3,Queensland,2021,,9,
DATAFLOW,ABS:C21_G36_LGA(1.0.0),"Census 2021, G36 Dwelling structure, Local Government Area 2021 (LGA 2021 boundaries)",I,33,Flat or apartment: In a four to eight storey block,D,Dwellings,35790,Palm Island,LGA2021,Local Government Areas (2021),3,Queensland,2021,,0,
DATAFLOW,ABS:C21_G36_LGA(1.0.0),"Census 2021, G36 Dwelling structure, Local Government Area 2021 (LGA 2021 boundaries)",I,2,"Semi-detached, row or terrace house, townhouse etc with: Total",D,Dwellings,36300,Richmond,LGA2021,Local Government Areas (2021),3,Queensland,2021,,0,
DATAFLOW,ABS:C21_G36_LGA(1.0.0),"Census 2021, G36 Dwelling structure, Local Government Area 2021 (LGA 2021 boundaries)",I,92,"Other dwelling: Cabin, houseboat",D,Dwellings,36820,Tablelands,LGA2021,Local Government Areas (2021),3,Queensland,2021,,49,
DATAFLOW,ABS:C21_G36_LGA(1.0.0),"Census 2021, G36 Dwelling structure, Local Government Area 2021 (LGA 2021 boundaries)",I,OCC,Total occupied private dwellings,D,Dwellings,37400,Winton,LGA2021,Local Government Areas (2021),3,Queensland,2021,,438,
DATAFLOW,ABS:C21_G36_LGA(1.0.0),"Census 2021, G36 Dwelling structure, Local Government Area 2021 (LGA 2021 boundaries)",I,OCC,Total occupied private dwellings,D,Dwellings,40220,Alexandrina,LGA2021,Local Government Areas (2021),4,South Australia,2021,,11724,
DATAFLOW,ABS:C21_G36_LGA(1.0.0),"Census 2021, G36 Dwelling structure, Local Government Area 2021 (LGA 2021 boundaries)",I,94,"Other dwelling: House or flat attached to a shop, office, etc",D,Dwellings,41060,Charles Sturt,LGA2021,Local Government Areas (2021),4,South Australia,2021,,67,
DATAFLOW,ABS:C21_G36_LGA(1.0.0),"Census 2021, G36 Dwelling structure, Local Government Area 2021 (LGA 2021 boundaries)",I,33,Flat or apartment: In a four to eight storey block,D,Dwellings,41330,Coober Pedy,LGA2021,Local Government Areas (2021),4,South Australia,2021,,0,
DATAFLOW,ABS:C21_G36_LGA(1.0.0),"Census 2021, G36 Dwelling structure, Local Government Area 2021 (LGA 2021 boundaries)",I,2,"Semi-detached, row or terrace house, townhouse etc with: Total",D,Dwellings,42030,Gawler,LGA2021,Local Government Areas (2021),4,South Australia,2021,,1679,
DATAFLOW,ABS:C21_G36_LGA(1.0.0),"Census 2021, G36 Dwelling structure, Local Government Area 2021 (LGA 2021 boundaries)",I,31,Flat or apartment: In a one or two storey block,D,Dwellings,43360,Kingston (SA),LGA2021,Local Government Areas (2021),4,South Australia,2021,,7,
DATAFLOW,ABS:C21_G36_LGA(1.0.0),"Census 2021, G36 Dwelling structure, Local Government Area 2021 (LGA 2021 boundaries)",I,35,Flat or apartment: Attached to a house,D,Dwellings,44000,Maralinga Tjarutja,LGA2021,Local Government Areas (2021),4,South Australia,2021,,0,
DATAFLOW,ABS:C21_G36_LGA(1.0.0),"Census 2021, G36 Dwelling structure, Local Government Area 2021 (LGA 2021 boundaries)",I,9,Other dwelling: Total,D,Dwellings,45090,Naracoorte Lucindale,LGA2021,Local Government Areas (2021),4,South Australia,2021,,10,
