,Year,Lga,PenTotal,CPDTotal,CPCTotal,GrowthTotal,PenBattery,CPDBattery,CPCBattery,GrowthBattery,PenSolar,CPDSolar,CPCSolar,GrowthSolar,PenOther,CPDOther,CPCOther,GrowthOther,BSR
0,2021,10050.0,0.8652090851199321,15.929263426024198,18.410883218842002,6975.555999999998,0.0012736149437486733,0.0012736149437486733,1.0,148.98,0.8639354701761834,15.92798981108045,18.436550368550368,6798.118000000001,0.0,0.0,0.0,28.457999999999988,0.0014742014742014742
1,2022,10050.0,0.8772772772772772,16.89425025025025,19.257594705613876,6975.555999999998,0.0024024024024024023,0.018018018018018018,7.5,148.98,0.8724724724724725,16.85724124124124,19.32122992198256,6798.118000000001,0.0024024024024024023,0.01899099099099099,7.905,28.457999999999988,0.0027535566773749425
2,2023,10050.0,0.892919836161498,17.74640725570509,19.874580602883356,6975.555999999998,0.005461283401599376,0.05734347571679345,10.5,148.98,0.8862882777452702,17.670561732007023,19.93771346830986,6798.118000000001,0.0023405500292568754,0.0185020479812756,7.905,28.457999999999988,0.006161971830985915
3,2024,10050.0,0.9292425695110259,18.42664046021093,19.829742055303342,6975.555999999998,0.007286673058485139,0.08333652924256951,11.436842105263159,148.98,0.9208053691275168,18.325114093959733,19.901180758017492,6798.118000000001,0.0023010546500479385,0.018189837008628956,7.905,28.457999999999988,0.007913369429404415
4,2021,10180.0,0.8847396768402155,13.307073608617593,15.040665584415583,83.22000000000114,0.006463195691202872,0.03447037701974865,5.333333333333333,0.0,0.8847396768402155,13.272603231597845,15.001704545454544,83.22000000000114,0.0,0.0,0.0,0.0,0.007305194805194805
5,2022,10180.0,0.838909968954812,12.63214901690238,15.057812499999999,83.22000000000114,0.006209037599172128,0.03311486719558469,5.333333333333333,0.0,0.838909968954812,12.599034149706794,15.018338815789473,83.22000000000114,0.0,0.0,0.0,0.0,0.007401315789473684
6,2023,10180.0,0.8351724137931035,12.665655172413794,15.165317919075145,83.22000000000114,0.006206896551724138,0.03310344827586207,5.333333333333333,0.0,0.8351724137931035,12.632551724137931,15.125681255161025,83.22000000000114,0.0,0.0,0.0,0.0,0.007431874483897605
7,2024,10180.0,0.8347646856750258,12.813809687392649,15.350205761316872,83.22000000000114,0.006183442116111302,0.03297835795259361,5.333333333333333,0.0,0.8347646856750258,12.780831329440055,15.310699588477366,83.22000000000114,0.0,0.0,0.0,0.0,0.007407407407407408
8,2021,10250.0,0.9235007416825599,13.399830472557746,14.509821018815972,-82.36000000000202,0.012714558169103624,0.101716465352829,8.0,2.799999999999999,0.9222292858656495,13.298114007204918,14.41953125,-85.16000000000203,0.0,0.0,0.0,0.0,0.013786764705882353
9,2022,10250.0,0.8820304568527919,12.773401015228426,14.48181399631676,-82.36000000000202,0.01299492385786802,0.10152284263959391,7.8125,2.799999999999999,0.8808121827411167,12.671878172588832,14.3865836791148,-85.16000000000203,0.0,0.0,0.0,0.0,0.01475334255417243
