,Year,Lga,PenTotal,CPDTotal,CPCTotal,GrowthTotal,PenBattery,CPDBattery,CPCBattery,GrowthBattery,PenSolar,CPDSolar,CPCSolar,GrowthSolar,PenOther,CPDOther,CPCOther,GrowthOther,BSR
0,2021,10050.0,2.7790032340990134,12.254501202421428,4.40967504177608,32455.119000000002,0.02595571772120408,0.13851894850319263,5.336741214057508,1638.0600000000002,2.7742764740028196,12.115003731652706,4.36690569421611,30817.859000000008,0.0,0.0,0.0,0.0,0.009355851143326857
1,2022,10050.0,2.968819968488266,13.726407247698814,4.623522946286417,32455.119000000002,0.037565303922381624,0.22058213782237332,5.8719646799117,1638.0600000000002,2.9539762832739034,13.503204660419602,4.5711960305429225,30817.859000000008,0.0,0.0,0.0,0.0,0.012716860367188816
2,2023,10050.0,3.104154573347707,14.798692677668132,4.767382657013865,32455.119000000002,0.04229206401857534,0.27299941952068996,6.455098039215686,1638.0600000000002,3.0858280122729913,14.523379633468778,4.706477346017413,30817.859000000008,0.0,0.0,0.0,0.0,0.013705256368913253
3,2024,10050.0,3.2850982668546314,16.38267393647898,4.986966174428878,32455.119000000002,0.04934074135500456,0.3474417447549548,7.041680672268908,1638.0600000000002,3.2632059043038395,16.034261962020068,4.913653147315189,30817.859000000008,0.0,0.0,0.0,0.0,0.015120327310614724
4,2021,10180.0,3.6441310659477395,15.272652675238492,4.191027270657865,1430.0077999999976,0.0743260058067192,0.35389464952301947,4.761383928571428,49.72000000000015,3.639651596847781,14.916468519286603,4.098323183517184,1385.1118000000047,0.0,0.0,0.0,0.0,0.0204211869814933
5,2022,10180.0,3.6547490667772706,15.371986229780173,4.206030550637795,1430.0077999999976,0.0743260058067192,0.3546412277063459,4.771428571428571,49.72000000000015,3.6502695976773123,15.015632849440067,4.113568175620398,1385.1118000000047,0.0,0.0,0.0,0.0,0.020361785292246158
6,2023,10180.0,3.660555785980921,15.41523467440896,4.211173268672952,1430.0077999999976,0.07515553712152634,0.3594525093322273,4.782781456953642,49.72000000000015,3.6560763168809625,15.053492658647864,4.117390162000272,1385.1118000000047,0.0,0.0,0.0,0.0,0.020556337069474066
7,2024,10180.0,3.687432600580672,15.653648610535047,4.245134842076847,1430.0077999999976,0.0761509746992949,0.36603898797179596,4.806753812636166,49.72000000000015,3.682787225217752,15.286846453753629,4.150890485629336,1385.1118000000047,0.0,0.0,0.0,0.0,0.02067753851698351
8,2021,10250.0,4.585888324873096,18.63984771573604,4.0646100374133844,696.0439999999943,0.08467005076142133,0.4169543147208122,4.924460431654676,22.76000000000021,4.582842639593909,18.222893401015227,3.9763297224252896,673.303999999992,0.0,0.0,0.0,0.0,0.01847544361002193
9,2022,10250.0,4.586294416243655,18.653151269035533,4.067150857775318,696.0439999999943,0.08446700507614213,0.4159390862944162,4.924278846153846,22.76000000000021,4.583248730964467,18.237212182741118,3.9791015616347325,673.303999999992,0.0,0.0,0.0,0.0,0.018429504928563517
10,2023,10250.0,4.584263959390863,18.654623350253807,4.06927339165098,696.0439999999943,0.08436548223350254,0.4154314720812183,4.924187725631769,22.76000000000021,4.581218274111675,18.23917157360406,3.9812928531855953,673.303999999992,0.0,0.0,0.0,0.0,0.01841551246537396
11,2024,10250.0,4.588629441624366,18.757130964467006,4.0877414929864155,696.0439999999943,0.08517766497461929,0.42097461928934016,4.942312276519667,22.76000000000021,4.585482233502538,18.336166497461928,3.998743330307525,673.303999999992,0.0,0.0,0.0,0.0,0.01857550866783271
12,2021,10300.0,10.318872017353579,60.42746203904556,5.856014294723566,5151.550999999998,0.07158351409978309,0.6316702819956616,8.824242424242424,140.2,10.303687635574837,59.79579175704989,5.803338947368421,5011.351000000001,0.0,0.0,0.0,0.0,0.006947368421052632
13,2022,10300.0,10.804772234273319,66.26491323210412,6.132930134511143,5151.550999999998,0.08459869848156182,0.6989154013015184,8.26153846153846,140.2,10.778741865509762,65.5659978308026,6.082898973636547,5011.351000000001,0.0,0.0,0.0,0.0,0.007848661702555847
14,2023,10300.0,11.264642082429502,70.72985900216919,6.278926439437704,5151.550999999998,0.08676789587852494,0.7097613882863341,8.18,140.2,11.238611713665943,70.02009761388287,6.230315576143601,5011.351000000001,0.0,0.0,0.0,0.0,0.007720517274657402
15,2024,10300.0,11.86117136659436,77.56369848156181,6.539294989027066,5151.550999999998,0.11062906724511931,1.1349240780911063,10.258823529411766,140.2,11.817787418655097,76.42877440347071,6.4672659691629955,5011.351000000001,0.0,0.0,0.0,0.0,0.009361233480176211
16,2021,10470.0,3.2769722571069755,15.836006279255622,4.832511549315402,3993.6106000000027,0.043840621075465235,0.22372416942573356,5.103125,105.42,3.274574723141911,15.608309053544925,4.766514852520745,3918.6766,0.0,0.0,0.0,0.0,0.013388187713548567
17,2022,10470.0,3.2877040758077407,15.964430300262588,4.85579904156683,3993.6106000000027,0.044068957643566616,0.22463751569813908,5.097409326424871,105.42,3.2850782052745746,15.726363169311565,4.787211197608952,3918.6766,0.0,0.0,0.0,0.0,0.013414888440953638
18,2023,10470.0,3.296837538531796,16.055418997602466,4.869945458323233,3993.6106000000027,0.04441146249571869,0.22737755451535566,5.119794344473008,105.42,3.2940974997145793,15.824068386802145,4.803764426576092,3918.6766,0.0,0.0,0.0,0.0,0.013482133573631858
19,2024,10470.0,3.3442173764128325,16.56558282909008,4.9535006145022535,3993.6106000000027,0.04646649160863112,0.24287019066103438,5.226781326781327,105.42,3.340678159607261,16.321388286334056,4.885651208092684,3918.6766,0.0,0.0,0.0,0.0,0.013909299067017532
20,2021,10500.0,0.7754775954139628,3.203461308814666,4.13095275448236,35309.901600000005,0.016174471246163117,0.0959788077985059,5.933968804159446,1823.98,0.7722539139697535,3.107490910619928,4.023923808486696,33477.48159999999,0.0,0.0,0.0,0.0,0.020944498892881774
21,2022,10500.0,0.8321302927943711,3.6637180259856756,4.402817753073943,35309.901600000005,0.01864128835129718,0.10936409379511403,5.8667669172932335,1823.98,0.8278974588980615,3.554362341794329,4.293239825286111,33477.48159999999,0.0,0.0,0.0,0.0,0.022516421751202005
22,2023,10500.0,0.8772057689881845,4.081958316397325,4.653364650241268,35309.901600000005,0.021584649669923052,0.12740830027891853,5.902727272727273,1823.98,0.872075910690008,3.953959942254054,4.533963034394086,33477.48159999999,0.0,0.0,0.0,0.0,0.024750883960141433
23,2024,10500.0,0.9401096051691031,4.713727220485795,5.014018785222293,35309.901600000005,0.02789185249554992,0.17518045608084432,6.2807035175879395,1823.98,0.9332697941048678,4.538360351521438,4.862860000600727,33477.48159999999,0.0,0.0,0.0,0.0,0.02988616225633016
24,2021,10550.0,1.9670580189216915,6.918568220677078,3.517216144173379,2337.085199999998,0.020061552490596147,0.1133591701812379,5.650568181818182,259.56,1.9644363387666706,6.80520905049584,3.464204421492399,2077.2652,0.0,0.0,0.0,0.0,0.01021237089474295
25,2022,10550.0,1.981534252821156,7.025127094494472,3.54529682466636,2337.085199999998,0.021543371708651546,0.1320300923287359,6.128571428571428,259.56,1.9774307534480793,6.893074204946997,3.4858738759511185,2077.2652,0.0,0.0,0.0,0.0,0.010894627622780723
26,2023,10550.0,1.9919069873475437,7.113227516243018,3.5710640915593705,2337.085199999998,0.022911204833010373,0.14820471902427904,6.468656716417911,259.56,1.9864356548501083,6.964988601390631,3.5062744591725483,2077.2652,0.0,0.0,0.0,0.0,0.011533826820451024
27,2024,10550.0,2.0173258862418786,7.333193434401003,3.635106000678043,2337.085199999998,0.02450701014476234,0.15727801208252593,6.417674418604651,259.56,2.0107146928074773,7.175869827880999,3.568815532879819,2077.2652,0.0,0.0,0.0,0.0,0.012188208616780046
28,2021,10600.0,7.428276928362824,29.016148428105137,3.9061748381128583,966.5259999999979,0.12987459199450266,0.6012369008761381,4.62936507936508,50.57999999999996,7.423123174712249,28.412643875622745,3.8275862068965516,920.5059999999997,0.0,0.0,0.0,0.0,0.017495950011571396
29,2022,10600.0,7.428620511939529,29.056564164232945,3.911434716248092,966.5259999999979,0.12884384126438755,0.6002061501460231,4.6584,50.57999999999996,7.424497509019069,28.456358014086927,3.832765514369013,920.5059999999997,0.0,0.0,0.0,0.0,0.01735388032764126
30,2023,10600.0,7.433087098436695,29.101264387562274,3.915097993898493,966.5259999999979,0.12884384126438755,0.6002061501460231,4.6584,50.57999999999996,7.428964095516235,28.501058237416252,3.8364781241328276,920.5059999999997,0.0,0.0,0.0,0.0,0.01734344648968643
31,2024,10600.0,7.48256313348222,29.554719120426043,3.9498121957939203,966.5259999999979,0.1343411784916681,0.6302009963923725,4.691048593350383,50.57999999999996,7.477409379831644,28.924861707610376,3.8682998667463124,920.5059999999997,0.0,0.0,0.0,0.0,0.01796627303221063
