,Year,Lga,Type,TotalCapacity,BatteryCapacity,SolarCapacity,OtherCapacity,TotalDerConnections,BatteryConnections,SolarConnections,OtherConnections,TotalPopulation,PopulationDensity,MedianAge,MedianEquivalisedHouseholdIncome,Certificate,AdvDiploma,BachelorDegree,GraduateDiploma,Postgraduate,TotalDwelling
1254,2021,45090.0,RESIDENTIAL,162428.54,12702.199999999999,149703.74,24.0,30036.0,1646.0,29380.0,6.0,8892.0,2.0,41.2,917.0,21.1,7.3,9.4,1.2,1.1,3800.0
1255,2022,45090.0,RESIDENTIAL,183884.136,16983.2,166878.736,24.0,32472.0,2248.0,31738.0,6.0,8918.0,2.0,41.3,917.0,21.1,7.3,9.4,1.2,1.1,3800.0
1256,2023,45090.0,RESIDENTIAL,197892.336,18973.6,178896.336,24.0,34070.0,2570.0,33222.0,6.0,8932.0,2.0,41.3,917.0,21.1,7.3,9.4,1.2,1.1,3800.0
1257,2024,45090.0,RESIDENTIAL,215539.414,21837.6,193679.214,24.0,36124.0,3058.0,35048.0,6.0,8901.0,2.0,41.6,917.0,21.1,7.3,9.4,1.2,1.1,3800.0
1258,2021,45120.0,RESIDENTIAL,169894.66,8765.0,161131.86,0.0,35698.0,1440.0,34672.0,0.0,4659.0,1.6,48.8,763.0,24.3,7.7,9.1,1.6,1.4,2289.0
1259,2022,45120.0,RESIDENTIAL,189943.71600000001,12484.4,177461.71600000001,0.0,38290.0,2016.0,37126.0,0.0,4662.0,1.6,49.6,763.0,24.3,7.7,9.1,1.6,1.4,2289.0
1260,2023,45120.0,RESIDENTIAL,201399.416,13721.8,187681.816,0.0,39742.0,2266.0,38402.0,0.0,4667.0,1.6,49.7,763.0,24.3,7.7,9.1,1.6,1.4,2289.0
1261,2024,45120.0,RESIDENTIAL,216939.418,16001.2,200942.418,0.0,41662.0,2678.0,40048.0,0.0,4667.0,1.6,49.9,763.0,24.3,7.7,9.1,1.6,1.4,2289.0
1262,2021,45290.0,RESIDENTIAL,535753.786024,37668.6,498087.586024,0.0,107070.0,6674.0,102316.0,0.0,37823.0,2504.2,40.6,1130.0,12.2,8.8,26.8,4.0,11.7,17528.0
1263,2022,45290.0,RESIDENTIAL,741731.172,58610.0,683124.372,0.0,119176.0,10024.0,113026.0,0.0,38019.0,2517.2,40.6,1130.0,12.2,8.8,26.8,4.0,11.7,17528.0
1264,2023,45290.0,RESIDENTIAL,815675.822,69035.6,746651.222,0.0,127676.0,11854.0,120558.0,0.0,39352.0,2605.5,40.0,1130.0,12.2,8.8,26.8,4.0,11.7,17528.0
1265,2024,45290.0,RESIDENTIAL,906261.68,87173.0,818888.6799999999,0.0,137368.0,14492.0,128714.0,0.0,40062.0,2652.5,39.9,1130.0,12.2,8.8,26.8,4.0,11.7,17528.0
1266,2021,45340.0,RESIDENTIAL,1287212.190038,77157.0,1210002.710038,0.0,293938.0,14788.0,283582.0,0.0,176595.0,340.8,41.0,898.0,26.9,9.3,11.7,2.0,2.9,73056.0
1267,2022,45340.0,RESIDENTIAL,1511586.184,127046.0,1384489.024,0.0,320776.0,23136.0,306530.0,0.0,178526.0,344.6,41.0,898.0,26.9,9.3,11.7,2.0,2.9,73056.0
1268,2023,45340.0,RESIDENTIAL,1675163.726,154226.6,1520903.926,0.0,340888.0,27910.0,323912.0,0.0,180883.0,349.1,41.0,898.0,26.9,9.3,11.7,2.0,2.9,73056.0
1269,2024,45340.0,RESIDENTIAL,1790698.692,185288.6,1605411.292,0.0,354710.0,32904.0,334200.0,0.0,182821.0,352.9,41.2,898.0,26.9,9.3,11.7,2.0,2.9,73056.0
1270,2021,45400.0,RESIDENTIAL,21113.3,638.4,20474.9,0.0,4778.0,108.0,4720.0,0.0,891.0,0.3,52.2,706.0,23.4,8.1,8.4,1.8,1.0,477.0
1271,2022,45400.0,RESIDENTIAL,23909.25,1083.6000000000001,22825.65,0.0,5040.0,162.0,4958.0,0.0,890.0,0.3,51.5,706.0,23.4,8.1,8.4,1.8,1.0,477.0
1272,2023,45400.0,RESIDENTIAL,25347.45,1175.2,24172.85,0.0,5220.0,182.0,5124.0,0.0,889.0,0.3,52.2,706.0,23.4,8.1,8.4,1.8,1.0,477.0
