,Year,Lga,Type,TotalCapacity,BatteryCapacity,SolarCapacity,OtherCapacity,TotalDerConnections,BatteryConnections,SolarConnections,OtherConnections,TotalPopulation,PopulationDensity,MedianAge,MedianEquivalisedHouseholdIncome,Certificate,AdvDiploma,BachelorDegree,GraduateDiploma,Postgraduate,TotalDwelling
0,2021,10050.0,RESIDENTIAL,295554.06,3340.7999999999997,292189.66,0.0,67024.0,626.0,66910.0,0.0,56067.0,183.4,39.1,947.0,24.0,9.2,13.1,2.4,3.7,24118.0
1,2022,10050.0,RESIDENTIAL,331053.49,5320.0,325670.29,0.0,71602.0,906.0,71244.0,0.0,56665.0,185.4,39.2,947.0,24.0,9.2,13.1,2.4,3.7,24118.0
2,2023,10050.0,RESIDENTIAL,356914.87,6584.2,350274.87,0.0,74866.0,1020.0,74424.0,0.0,57509.0,188.2,39.3,947.0,24.0,9.2,13.1,2.4,3.7,24118.0
3,2024,10050.0,RESIDENTIAL,395117.33,8379.6,386714.33,0.0,79230.0,1190.0,78702.0,0.0,58317.0,190.8,39.3,947.0,24.0,9.2,13.1,2.4,3.7,24118.0
4,2021,10180.0,RESIDENTIAL,184111.828,4266.2,179818.028,0.0,43930.0,896.0,43876.0,0.0,29332.0,3.8,36.9,924.0,18.4,7.6,15.0,2.8,8.8,12055.0
5,2022,10180.0,RESIDENTIAL,185309.294,4275.2,181013.454,0.0,44058.0,896.0,44004.0,0.0,29361.0,3.8,37.0,924.0,18.4,7.6,15.0,2.8,8.8,12055.0
6,2023,10180.0,RESIDENTIAL,185830.654,4333.2,181469.854,0.0,44128.0,906.0,44074.0,0.0,29588.0,3.8,37.0,924.0,18.4,7.6,15.0,2.8,8.8,12055.0
7,2024,10180.0,RESIDENTIAL,188704.734,4412.6,184282.934,0.0,44452.0,918.0,44396.0,0.0,29646.0,3.8,37.0,924.0,18.4,7.6,15.0,2.8,8.8,12055.0
8,2021,10250.0,RESIDENTIAL,367205.0,8214.0,358991.0,0.0,90342.0,1668.0,90282.0,0.0,46196.0,95.3,47.7,926.0,22.6,10.3,16.1,2.5,4.1,19700.0
9,2022,10250.0,RESIDENTIAL,367467.08,8194.0,359273.08,0.0,90350.0,1664.0,90290.0,0.0,46849.0,96.6,47.8,926.0,22.6,10.3,16.1,2.5,4.1,19700.0
10,2023,10250.0,RESIDENTIAL,367496.08,8184.0,359311.68,0.0,90310.0,1662.0,90250.0,0.0,47277.0,97.5,47.7,926.0,22.6,10.3,16.1,2.5,4.1,19700.0
11,2024,10250.0,RESIDENTIAL,369515.48,8293.2,361222.48,0.0,90396.0,1678.0,90334.0,0.0,47935.0,98.8,47.5,926.0,22.6,10.3,16.1,2.5,4.1,19700.0
12,2021,10300.0,RESIDENTIAL,55714.12,582.4,55131.72,0.0,9514.0,66.0,9500.0,0.0,2208.0,0.1,43.4,892.0,18.0,5.5,6.3,0.6,1.1,922.0
13,2022,10300.0,RESIDENTIAL,61096.25,644.4,60451.85,0.0,9962.0,78.0,9938.0,0.0,2210.0,0.1,43.9,892.0,18.0,5.5,6.3,0.6,1.1,922.0
14,2023,10300.0,RESIDENTIAL,65212.93,654.4,64558.53,0.0,10386.0,80.0,10362.0,0.0,2202.0,0.1,43.4,892.0,18.0,5.5,6.3,0.6,1.1,922.0
15,2024,10300.0,RESIDENTIAL,71513.73,1046.4,70467.33,0.0,10936.0,102.0,10896.0,0.0,2219.0,0.1,43.4,892.0,18.0,5.5,6.3,0.6,1.1,922.0
16,2021,10470.0,RESIDENTIAL,277415.158,3919.2000000000003,273426.358,0.0,57406.0,768.0,57364.0,0.0,43674.0,11.4,38.2,1009.0,24.9,8.4,13.0,2.2,3.9,17518.0
17,2022,10470.0,RESIDENTIAL,279664.89,3935.2000000000003,275494.43,0.0,57594.0,772.0,57548.0,0.0,44110.0,11.6,38.3,1009.0,24.9,8.4,13.0,2.2,3.9,17518.0
18,2023,10470.0,RESIDENTIAL,281258.83,3983.2000000000003,277206.02999999997,0.0,57754.0,778.0,57706.0,0.0,44606.0,11.7,38.4,1009.0,24.9,8.4,13.0,2.2,3.9,17518.0
19,2024,10470.0,RESIDENTIAL,290195.88,4254.6,285918.08,0.0,58584.0,814.0,58522.0,0.0,44939.0,11.8,38.5,1009.0,24.9,8.4,13.0,2.2,3.9,17518.0
20,2021,10500.0,RESIDENTIAL,228557.354,6847.8,221710.154,0.0,55328.0,1154.0,55098.0,0.0,176229.0,3481.4,35.6,1187.0,13.3,10.4,22.5,1.7,9.5,71347.0
21,2022,10500.0,RESIDENTIAL,261395.29,7802.8,253593.09,0.0,59370.0,1330.0,59068.0,0.0,177992.0,3516.2,35.6,1187.0,13.3,10.4,22.5,1.7,9.5,71347.0
22,2023,10500.0,RESIDENTIAL,291235.48,9090.2,282103.18,0.0,62586.0,1540.0,62220.0,0.0,182945.0,3614.1,35.3,1187.0,13.3,10.4,22.5,1.7,9.5,71347.0
23,2024,10500.0,RESIDENTIAL,336310.29600000003,12498.6,323798.396,0.0,67074.0,1990.0,66586.0,0.0,185880.0,3672.0,35.3,1187.0,13.3,10.4,22.5,1.7,9.5,71347.0
24,2021,10550.0,RESIDENTIAL,121393.198,1989.0,119404.198,0.0,34514.0,352.0,34468.0,0.0,35770.0,5.7,51.9,794.0,24.8,9.0,12.4,2.7,3.5,17546.0
25,2022,10550.0,RESIDENTIAL,123262.88,2316.6,120945.88,0.0,34768.0,378.0,34696.0,0.0,35985.0,5.7,52.2,794.0,24.8,9.0,12.4,2.7,3.5,17546.0
26,2023,10550.0,RESIDENTIAL,124808.69,2600.4,122207.69,0.0,34950.0,402.0,34854.0,0.0,36278.0,5.8,52.2,794.0,24.8,9.0,12.4,2.7,3.5,17546.0
27,2024,10550.0,RESIDENTIAL,128668.212,2759.6,125907.812,0.0,35396.0,430.0,35280.0,0.0,36593.0,5.8,52.5,794.0,24.8,9.0,12.4,2.7,3.5,17546.0
28,2021,10600.0,RESIDENTIAL,168903.0,3499.8,165390.0,0.0,43240.0,756.0,43210.0,0.0,13203.0,8.2,50.0,774.0,23.1,9.7,15.0,3.1,4.2,5821.0
29,2022,10600.0,RESIDENTIAL,169138.25999999998,3493.8,165644.46,0.0,43242.0,750.0,43218.0,0.0,13261.0,8.3,50.6,774.0,23.1,9.7,15.0,3.1,4.2,5821.0
30,2023,10600.0,RESIDENTIAL,169398.46,3493.8,165904.66,0.0,43268.0,750.0,43244.0,0.0,13231.0,8.3,51.1,774.0,23.1,9.7,15.0,3.1,4.2,5821.0
31,2024,10600.0,RESIDENTIAL,172038.02,3668.4,168371.62,0.0,43556.0,782.0,43526.0,0.0,13278.0,8.3,51.6,774.0,23.1,9.7,15.0,3.1,4.2,5821.0
32,2021,10650.0,RESIDENTIAL,165898.645,449.0,165449.645,0.0,36621.0,91.0,36605.0,0.0,8615.0,4.2,51.9,755.0,23.2,6.9,8.0,1.4,1.0,3894.0
33,2022,10650.0,RESIDENTIAL,185429.75,864.3,184549.45,0.0,38669.0,173.0,38604.0,0.0,8652.0,4.2,52.8,755.0,23.2,6.9,8.0,1.4,1.0,3894.0
34,2023,10650.0,RESIDENTIAL,198285.046,1630.7,196630.346,0.0,40182.0,305.0,40066.0,0.0,8643.0,4.2,53.1,755.0,23.2,6.9,8.0,1.4,1.0,3894.0
35,2024,10650.0,RESIDENTIAL,217925.824,3097.4,214820.424,0.0,42182.0,449.0,42025.0,0.0,8666.0,4.2,53.3,755.0,23.2,6.9,8.0,1.4,1.0,3894.0
36,2021,10750.0,RESIDENTIAL,1257487.19,0.0,1257181.19,306.0,247222.0,0.0,247198.0,24.0,399925.0,1674.4,34.4,1112.0,15.4,9.0,19.4,1.5,8.3,127688.0
37,2022,10750.0,RESIDENTIAL,1319155.108,0.0,1318849.108,306.0,253970.0,0.0,253946.0,24.0,410944.0,1720.5,34.7,1112.0,15.4,9.0,19.4,1.5,8.3,127688.0
38,2023,10750.0,RESIDENTIAL,1383786.248,20.0,1383373.248,393.0,260922.0,4.0,260888.0,30.0,426075.0,1783.9,34.7,1112.0,15.4,9.0,19.4,1.5,8.3,127688.0
39,2024,10750.0,RESIDENTIAL,1513586.906,30.0,1513163.906,393.0,273810.0,6.0,273774.0,30.0,438843.0,1837.3,34.9,1112.0,15.4,9.0,19.4,1.5,8.3,127688.0
40,2021,10800.0,RESIDENTIAL,105764.0,456.0,105308.0,0.0,21582.0,84.0,21582.0,0.0,5544.0,0.6,43.3,876.0,24.1,6.5,8.1,1.2,1.0,2783.0
41,2022,10800.0,RESIDENTIAL,106194.8,456.0,105738.8,0.0,21652.0,84.0,21652.0,0.0,5493.0,0.6,43.5,876.0,24.1,6.5,8.1,1.2,1.0,2783.0
42,2023,10800.0,RESIDENTIAL,106303.2,456.0,105847.2,0.0,21654.0,84.0,21654.0,0.0,5463.0,0.6,43.5,876.0,24.1,6.5,8.1,1.2,1.0,2783.0
43,2024,10800.0,RESIDENTIAL,108575.2,526.0,108049.2,0.0,21784.0,90.0,21782.0,0.0,5454.0,0.6,43.4,876.0,24.1,6.5,8.1,1.2,1.0,2783.0
44,2021,10850.0,RESIDENTIAL,204770.158,3040.8,201687.358,0.0,42866.0,588.0,42848.0,0.0,7511.0,4.9,42.7,964.0,27.0,7.9,11.1,1.9,2.5,3040.0
45,2022,10850.0,RESIDENTIAL,206335.68,3056.8,203255.18,0.0,42978.0,592.0,42956.0,0.0,7590.0,5.0,42.5,964.0,27.0,7.9,11.1,1.9,2.5,3040.0
46,2023,10850.0,RESIDENTIAL,207737.18,3104.8,204590.38,0.0,43092.0,598.0,43068.0,0.0,7643.0,5.0,42.1,964.0,27.0,7.9,11.1,1.9,2.5,3040.0
47,2024,10850.0,RESIDENTIAL,214882.22,3279.8,211588.42,0.0,43760.0,624.0,43722.0,0.0,7767.0,5.1,41.6,964.0,27.0,7.9,11.1,1.9,2.5,3040.0
48,2021,10900.0,RESIDENTIAL,418100.794,182.39999999999998,417804.394,114.0,85062.0,36.0,85038.0,12.0,78372.0,54.8,45.2,1086.0,20.6,11.6,19.9,3.8,9.0,34093.0
49,2022,10900.0,RESIDENTIAL,429922.52,182.39999999999998,429626.12,114.0,86384.0,36.0,86360.0,12.0,77913.0,54.4,45.4,1086.0,20.6,11.6,19.9,3.8,9.0,34093.0
50,2023,10900.0,RESIDENTIAL,446036.4,235.6,445687.0,114.0,87966.0,44.0,87938.0,12.0,78437.0,54.8,45.4,1086.0,20.6,11.6,19.9,3.8,9.0,34093.0
51,2024,10900.0,RESIDENTIAL,478755.38,318.2,478323.58,114.0,91002.0,54.0,90972.0,12.0,78891.0,55.1,45.6,1086.0,20.6,11.6,19.9,3.8,9.0,34093.0
52,2021,10950.0,RESIDENTIAL,58709.0,210.0,58499.0,0.0,13432.0,42.0,13420.0,0.0,2480.0,0.2,41.2,941.0,22.1,5.2,8.5,1.2,1.7,1184.0
53,2022,10950.0,RESIDENTIAL,58792.6,210.0,58582.6,0.0,13442.0,42.0,13430.0,0.0,2454.0,0.2,41.2,941.0,22.1,5.2,8.5,1.2,1.7,1184.0
54,2023,10950.0,RESIDENTIAL,58782.2,210.0,58572.2,0.0,13436.0,42.0,13424.0,0.0,2420.0,0.2,41.2,941.0,22.1,5.2,8.5,1.2,1.7,1184.0
55,2024,10950.0,RESIDENTIAL,59600.0,210.0,59390.0,0.0,13444.0,42.0,13432.0,0.0,2407.0,0.2,40.5,941.0,22.1,5.2,8.5,1.2,1.7,1184.0
56,2021,11150.0,RESIDENTIAL,41862.799999999996,186.0,41676.799999999996,0.0,9560.0,36.0,9554.0,0.0,2416.0,0.1,36.5,1034.0,15.9,7.0,9.9,1.1,1.9,1095.0
57,2022,11150.0,RESIDENTIAL,42697.6,186.0,42511.6,0.0,9646.0,36.0,9640.0,0.0,2348.0,0.1,36.6,1034.0,15.9,7.0,9.9,1.1,1.9,1095.0
58,2023,11150.0,RESIDENTIAL,42875.4,186.0,42689.4,0.0,9656.0,36.0,9650.0,0.0,2364.0,0.1,35.8,1034.0,15.9,7.0,9.9,1.1,1.9,1095.0
59,2024,11150.0,RESIDENTIAL,44348.2,186.0,44162.2,0.0,9764.0,36.0,9758.0,0.0,2349.0,0.1,36.2,1034.0,15.9,7.0,9.9,1.1,1.9,1095.0
60,2021,11200.0,RESIDENTIAL,43486.0,108.0,43378.0,0.0,10348.0,18.0,10348.0,0.0,1487.0,0.1,37.0,635.0,12.3,4.9,6.9,0.8,1.8,598.0
61,2022,11200.0,RESIDENTIAL,44372.0,108.0,44264.0,0.0,10440.0,18.0,10440.0,0.0,1431.0,0.1,36.7,635.0,12.3,4.9,6.9,0.8,1.8,598.0
62,2023,11200.0,RESIDENTIAL,44737.2,108.0,44629.2,0.0,10482.0,18.0,10482.0,0.0,1411.0,0.1,37.5,635.0,12.3,4.9,6.9,0.8,1.8,598.0
63,2024,11200.0,RESIDENTIAL,46556.0,108.0,46448.0,0.0,10622.0,18.0,10622.0,0.0,1408.0,0.1,38.2,635.0,12.3,4.9,6.9,0.8,1.8,598.0
64,2021,11250.0,RESIDENTIAL,59822.2,673.2,59149.0,0.0,18710.0,66.0,18710.0,0.0,17662.0,103.8,43.3,798.0,23.6,6.1,7.1,1.5,1.7,8836.0
65,2022,11250.0,RESIDENTIAL,60128.0,673.2,59454.8,0.0,18754.0,66.0,18754.0,0.0,17567.0,103.3,43.2,798.0,23.6,6.1,7.1,1.5,1.7,8836.0
66,2023,11250.0,RESIDENTIAL,60132.399999999994,673.2,59459.2,0.0,18756.0,66.0,18756.0,0.0,17622.0,103.6,42.9,798.0,23.6,6.1,7.1,1.5,1.7,8836.0
67,2024,11250.0,RESIDENTIAL,60944.6,673.2,60271.4,0.0,18848.0,66.0,18848.0,0.0,17541.0,103.1,42.9,798.0,23.6,6.1,7.1,1.5,1.7,8836.0
68,2021,11300.0,RESIDENTIAL,101028.88,3381.2,97648.88,0.0,22958.0,610.0,22834.0,0.0,40440.0,5673.2,34.1,1078.0,9.0,10.6,24.3,1.9,11.6,15485.0
69,2022,11300.0,RESIDENTIAL,114905.66,3749.0,111158.06,0.0,24538.0,676.0,24382.0,0.0,40850.0,5730.8,33.8,1078.0,9.0,10.6,24.3,1.9,11.6,15485.0
70,2023,11300.0,RESIDENTIAL,126835.63,4081.0,122756.43,0.0,25774.0,732.0,25604.0,0.0,42496.0,5961.7,33.1,1078.0,9.0,10.6,24.3,1.9,11.6,15485.0
71,2024,11300.0,RESIDENTIAL,145104.16,5074.599999999999,140030.76,0.0,27456.0,866.0,27248.0,0.0,43346.0,6080.9,32.9,1078.0,9.0,10.6,24.3,1.9,11.6,15485.0
72,2021,11350.0,RESIDENTIAL,385293.8,9421.8,375770.0,0.0,93418.0,1902.0,93328.0,0.0,36106.0,63.8,42.6,996.0,17.5,11.1,21.4,2.7,6.2,15220.0
73,2022,11350.0,RESIDENTIAL,385788.04,9377.8,376356.24,0.0,93482.0,1892.0,93392.0,0.0,36514.0,64.5,42.4,996.0,17.5,11.1,21.4,2.7,6.2,15220.0
74,2023,11350.0,RESIDENTIAL,386154.64,9367.8,376684.84,0.0,93462.0,1890.0,93372.0,0.0,37122.0,65.6,42.2,996.0,17.5,11.1,21.4,2.7,6.2,15220.0
75,2024,11350.0,RESIDENTIAL,388110.64,9481.0,378596.04,0.0,93488.0,1894.0,93398.0,0.0,37826.0,66.9,42.4,996.0,17.5,11.1,21.4,2.7,6.2,15220.0
76,2021,11400.0,RESIDENTIAL,480957.558,4857.0,476024.958,0.0,110766.0,978.0,110730.0,0.0,13767.0,2.3,43.6,967.0,24.1,8.6,12.5,1.7,3.2,5480.0
77,2022,11400.0,RESIDENTIAL,483516.83999999997,4851.0,478430.58,0.0,110976.0,972.0,110946.0,0.0,13843.0,2.3,44.0,967.0,24.1,8.6,12.5,1.7,3.2,5480.0
78,2023,11400.0,RESIDENTIAL,485081.98,4891.0,480121.38,0.0,111168.0,976.0,111138.0,0.0,13879.0,2.3,44.0,967.0,24.1,8.6,12.5,1.7,3.2,5480.0
79,2024,11400.0,RESIDENTIAL,499497.75,5291.6,494184.95,0.0,112458.0,1028.0,112392.0,0.0,13897.0,2.3,44.6,967.0,24.1,8.6,12.5,1.7,3.2,5480.0
80,2021,11450.0,RESIDENTIAL,417550.816,300.0,417250.816,0.0,78008.0,6.0,78008.0,0.0,120083.0,595.9,32.7,1258.0,23.7,11.0,14.7,1.8,5.1,38576.0
81,2022,11450.0,RESIDENTIAL,457053.17,300.0,456753.17,0.0,81038.0,6.0,81038.0,0.0,127808.0,634.2,32.9,1258.0,23.7,11.0,14.7,1.8,5.1,38576.0
82,2023,11450.0,RESIDENTIAL,486734.51,300.0,486434.51,0.0,84280.0,6.0,84280.0,0.0,134763.0,668.7,33.1,1258.0,23.7,11.0,14.7,1.8,5.1,38576.0
83,2024,11450.0,RESIDENTIAL,534176.7,300.0,533876.7,0.0,89202.0,6.0,89202.0,0.0,141133.0,700.3,33.3,1258.0,23.7,11.0,14.7,1.8,5.1,38576.0
84,2021,11500.0,RESIDENTIAL,709546.79,300.0,709090.79,156.0,140344.0,6.0,140332.0,12.0,177778.0,570.9,35.2,962.0,19.3,8.9,13.8,1.3,5.7,60258.0
85,2022,11500.0,RESIDENTIAL,760167.896,300.0,759711.896,156.0,144654.0,6.0,144642.0,12.0,180377.0,579.2,35.4,962.0,19.3,8.9,13.8,1.3,5.7,60258.0
86,2023,11500.0,RESIDENTIAL,801993.416,300.0,801537.416,156.0,149272.0,6.0,149260.0,12.0,184734.0,593.2,35.4,962.0,19.3,8.9,13.8,1.3,5.7,60258.0
87,2024,11500.0,RESIDENTIAL,870165.716,300.0,869709.716,156.0,156416.0,6.0,156404.0,12.0,188303.0,604.7,35.6,962.0,19.3,8.9,13.8,1.3,5.7,60258.0
88,2021,11520.0,RESIDENTIAL,118242.41,4496.4,113745.41,0.0,31044.0,786.0,30836.0,0.0,89685.0,4501.4,38.8,1518.0,12.1,10.5,27.3,2.8,12.8,37883.0
89,2022,11520.0,RESIDENTIAL,134918.18,5172.8,129688.38,0.0,32888.0,906.0,32632.0,0.0,89236.0,4478.8,39.1,1518.0,12.1,10.5,27.3,2.8,12.8,37883.0
90,2023,11520.0,RESIDENTIAL,149074.94,5709.8,143323.74,0.0,34350.0,992.0,34068.0,0.0,91383.0,4586.6,38.8,1518.0,12.1,10.5,27.3,2.8,12.8,37883.0
91,2024,11520.0,RESIDENTIAL,169863.706,6999.599999999999,162850.306,0.0,36326.0,1164.0,36004.0,0.0,92255.0,4630.4,38.7,1518.0,12.1,10.5,27.3,2.8,12.8,37883.0
92,2021,11570.0,RESIDENTIAL,762804.228,9730.6,752961.828,78.0,181462.0,1712.0,181150.0,6.0,372459.0,3378.7,36.3,877.0,13.3,9.0,16.2,1.3,6.0,126210.0
93,2022,11570.0,RESIDENTIAL,832762.094,10692.2,821992.694,78.0,189504.0,1876.0,189140.0,6.0,372119.0,3375.6,36.4,877.0,13.3,9.0,16.2,1.3,6.0,126210.0
94,2023,11570.0,RESIDENTIAL,896605.448,12391.8,884139.648,78.0,195848.0,2146.0,195420.0,6.0,379733.0,3444.7,36.2,877.0,13.3,9.0,16.2,1.3,6.0,126210.0
95,2024,11570.0,RESIDENTIAL,1005703.134,17114.0,988516.534,78.0,206234.0,2772.0,205674.0,6.0,385242.0,3494.7,36.2,877.0,13.3,9.0,16.2,1.3,6.0,126210.0
96,2021,11600.0,RESIDENTIAL,138162.4,717.0,137445.4,0.0,27326.0,138.0,27296.0,0.0,2873.0,0.2,36.7,981.0,20.4,6.8,9.4,0.9,1.0,1109.0
97,2022,11600.0,RESIDENTIAL,138690.398,717.0,137973.398,0.0,27394.0,138.0,27364.0,0.0,2829.0,0.1,36.6,981.0,20.4,6.8,9.4,0.9,1.0,1109.0
98,2023,11600.0,RESIDENTIAL,138800.398,717.0,138083.398,0.0,27404.0,138.0,27374.0,0.0,2764.0,0.1,37.2,981.0,20.4,6.8,9.4,0.9,1.0,1109.0
99,2024,11600.0,RESIDENTIAL,141597.598,763.0,140834.598,0.0,27520.0,140.0,27490.0,0.0,2767.0,0.1,37.4,981.0,20.4,6.8,9.4,0.9,1.0,1109.0
100,2021,11650.0,RESIDENTIAL,869476.568,19351.6,850125.568,0.0,192152.0,3456.0,191576.0,0.0,348493.0,207.3,42.7,947.0,24.9,9.8,12.6,1.8,3.5,146248.0
101,2022,11650.0,RESIDENTIAL,962356.894,22588.8,939767.294,0.0,202420.0,4022.0,201678.0,0.0,349158.0,207.7,42.7,947.0,24.9,9.8,12.6,1.8,3.5,146248.0
102,2023,11650.0,RESIDENTIAL,1048569.824,25697.8,1022838.624,0.0,211552.0,4524.0,210706.0,0.0,351900.0,209.3,42.7,947.0,24.9,9.8,12.6,1.8,3.5,146248.0
103,2024,11650.0,RESIDENTIAL,1180759.386,33142.52,1147577.506,10.0,225018.0,5434.0,224000.0,2.0,354803.0,211.1,42.8,947.0,24.9,9.8,12.6,1.8,3.5,146248.0
104,2021,11700.0,RESIDENTIAL,107373.0,1001.4,106371.59999999999,0.0,29148.0,120.0,29142.0,0.0,1758.0,31.8,42.5,651.0,14.4,4.7,5.5,1.4,1.5,819.0
105,2022,11700.0,RESIDENTIAL,107841.6,1001.4,106840.2,0.0,29206.0,120.0,29200.0,0.0,1749.0,31.8,43.1,651.0,14.4,4.7,5.5,1.4,1.5,819.0
106,2023,11700.0,RESIDENTIAL,107750.4,1001.4,106749.0,0.0,29188.0,120.0,29182.0,0.0,1756.0,31.8,43.6,651.0,14.4,4.7,5.5,1.4,1.5,819.0
107,2024,11700.0,RESIDENTIAL,108691.4,1001.4,107690.0,0.0,29274.0,120.0,29268.0,0.0,1767.0,31.8,44.1,651.0,14.4,4.7,5.5,1.4,1.5,819.0
108,2021,11720.0,RESIDENTIAL,1146620.938,30056.6,1115918.538,0.0,227484.0,5652.0,226860.0,0.0,64120.0,32.6,37.1,917.0,29.5,7.3,7.1,1.0,1.5,24664.0
109,2022,11720.0,RESIDENTIAL,1269383.9,33945.6,1235360.74,39.599999999999994,241810.0,6328.0,241040.0,6.0,65875.0,33.5,37.2,917.0,29.5,7.3,7.1,1.0,1.5,24664.0
110,2023,11720.0,RESIDENTIAL,1375549.1300000001,38587.0,1336829.77,39.599999999999994,253256.0,7004.0,252346.0,6.0,67579.0,34.4,37.0,917.0,29.5,7.3,7.1,1.0,1.5,24664.0
111,2024,11720.0,RESIDENTIAL,1543926.242,52417.56,1491116.602,49.599999999999994,270040.0,8600.0,268764.0,8.0,69352.0,35.3,37.0,917.0,29.5,7.3,7.1,1.0,1.5,24664.0
112,2021,11730.0,RESIDENTIAL,379107.22,6744.0,372350.62,0.0,92892.0,1428.0,92862.0,0.0,54212.0,5.2,48.7,729.0,25.8,7.7,8.5,1.5,1.8,24141.0
113,2022,11730.0,RESIDENTIAL,380523.89999999997,6738.0,373786.5,0.0,93014.0,1420.0,92990.0,0.0,54659.0,5.2,49.0,729.0,25.8,7.7,8.5,1.5,1.8,24141.0
114,2023,11730.0,RESIDENTIAL,381101.3,6768.0,374333.9,0.0,93066.0,1422.0,93042.0,0.0,55321.0,5.3,48.7,729.0,25.8,7.7,8.5,1.5,1.8,24141.0
115,2024,11730.0,RESIDENTIAL,387967.1,7151.8,380817.9,0.0,93796.0,1472.0,93766.0,0.0,56037.0,5.4,48.8,729.0,25.8,7.7,8.5,1.5,1.8,24141.0
116,2021,11750.0,RESIDENTIAL,66593.2,180.0,66413.2,0.0,14710.0,36.0,14698.0,0.0,4098.0,0.1,36.9,1155.0,23.9,5.1,7.5,0.8,1.3,1940.0
117,2022,11750.0,RESIDENTIAL,66673.8,180.0,66493.8,0.0,14716.0,36.0,14704.0,0.0,4046.0,0.1,37.3,1155.0,23.9,5.1,7.5,0.8,1.3,1940.0
118,2023,11750.0,RESIDENTIAL,66660.2,180.0,66480.2,0.0,14708.0,36.0,14696.0,0.0,4077.0,0.1,37.0,1155.0,23.9,5.1,7.5,0.8,1.3,1940.0
119,2024,11750.0,RESIDENTIAL,67458.6,180.0,67278.6,0.0,14720.0,36.0,14708.0,0.0,4015.0,0.1,37.6,1155.0,23.9,5.1,7.5,0.8,1.3,1940.0
120,2021,11800.0,RESIDENTIAL,288612.02,5445.6,283153.22,0.0,71746.0,1158.0,71710.0,0.0,78781.0,67.1,43.6,864.0,24.4,9.6,12.9,2.1,3.2,32505.0
121,2022,11800.0,RESIDENTIAL,289424.56,5409.6,284014.96,0.0,71794.0,1146.0,71770.0,0.0,79725.0,67.9,43.6,864.0,24.4,9.6,12.9,2.1,3.2,32505.0
122,2023,11800.0,RESIDENTIAL,290000.76,5409.6,284591.16,0.0,71848.0,1146.0,71824.0,0.0,80480.0,68.6,43.5,864.0,24.4,9.6,12.9,2.1,3.2,32505.0
123,2024,11800.0,RESIDENTIAL,295564.36,5669.4,289896.96,0.0,72460.0,1188.0,72426.0,0.0,81248.0,69.2,43.6,864.0,24.4,9.6,12.9,2.1,3.2,32505.0
124,2021,12000.0,RESIDENTIAL,156207.44,1170.0,155037.44,0.0,33980.0,288.0,33974.0,0.0,4403.0,1.8,43.3,819.0,23.8,7.0,9.1,1.6,2.1,1875.0
125,2022,12000.0,RESIDENTIAL,157414.5,1170.0,156244.5,0.0,34220.0,288.0,34214.0,0.0,4465.0,1.8,43.1,819.0,23.8,7.0,9.1,1.6,2.1,1875.0
126,2023,12000.0,RESIDENTIAL,158078.696,1170.0,156908.696,0.0,34296.0,288.0,34290.0,0.0,4549.0,1.9,42.9,819.0,23.8,7.0,9.1,1.6,2.1,1875.0
127,2024,12000.0,RESIDENTIAL,162959.772,1357.998,161601.574,0.0,34768.0,302.0,34754.0,0.0,4613.0,1.9,42.7,819.0,23.8,7.0,9.1,1.6,2.1,1875.0
128,2021,12150.0,RESIDENTIAL,76739.0,420.0,76295.0,0.0,19618.0,84.0,19612.0,0.0,3833.0,0.4,38.5,785.0,17.8,5.3,7.8,0.6,1.4,1567.0
129,2022,12150.0,RESIDENTIAL,76947.0,420.0,76443.0,0.0,19630.0,84.0,19624.0,0.0,3825.0,0.4,38.8,785.0,17.8,5.3,7.8,0.6,1.4,1567.0
130,2023,12150.0,RESIDENTIAL,76995.2,420.0,76551.2,0.0,19640.0,84.0,19634.0,0.0,3860.0,0.4,38.6,785.0,17.8,5.3,7.8,0.6,1.4,1567.0
131,2024,12150.0,RESIDENTIAL,78065.8,436.0,77621.8,0.0,19676.0,84.0,19670.0,0.0,3871.0,0.4,38.5,785.0,17.8,5.3,7.8,0.6,1.4,1567.0
132,2021,12160.0,RESIDENTIAL,277986.06,2676.0,275282.46,0.0,59742.0,570.0,59730.0,0.0,11390.0,2.9,48.4,754.0,23.3,7.7,8.0,1.2,1.5,5101.0
133,2022,12160.0,RESIDENTIAL,279240.94,2676.0,276530.98,0.0,59998.0,570.0,59986.0,0.0,11403.0,2.9,49.1,754.0,23.3,7.7,8.0,1.2,1.5,5101.0
134,2023,12160.0,RESIDENTIAL,279857.176,2676.0,277153.576,0.0,60066.0,570.0,60054.0,0.0,11423.0,2.9,49.3,754.0,23.3,7.7,8.0,1.2,1.5,5101.0
135,2024,12160.0,RESIDENTIAL,287041.734,2951.0,284081.534,0.0,60716.0,588.0,60698.0,0.0,11424.0,2.9,49.6,754.0,23.3,7.7,8.0,1.2,1.5,5101.0
136,2021,12350.0,RESIDENTIAL,283221.758,3652.8,279526.958,0.0,60226.0,696.0,60208.0,0.0,12759.0,4.5,46.9,735.0,24.1,7.4,7.8,1.4,1.5,5813.0
137,2022,12350.0,RESIDENTIAL,284864.6,3668.8,281172.1,0.0,60356.0,700.0,60334.0,0.0,12703.0,4.5,47.0,735.0,24.1,7.4,7.8,1.4,1.5,5813.0
